textID,original,sentiment,prefix,completion,combined,orig_without_prefix,nli_label,nli_score
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is, going to be sore for a while. I hate my phone.,<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be sore for a while. I hate my phone.,not a virgin. That`s how loose it is... :`(,neutral,0.92426634
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and, it`s gonna get even hotter tomorrow.  {link},<sentiment: negative>So hot today =_=  don`t like it and it`s gonna get even hotter tomorrow.  {link},"i hate my new timetable, having such a bad week",neutral,0.9977849
33f19050cf,you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer, my question on your blog  {link},<sentiment: positive>you guys didn`t say hi or answer my question on your blog  {link},my questions yesterday  but nice songs.,neutral,0.60318124
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now"," know that I`m not the only one, I`m not the only one.","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now know that I`m not the only one, I`m not the only one.","realise, i`m not all that great. and I`m ok with that.",neutral,0.4433536
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more, attention to me than my parents do,<sentiment: negative>My dead grandpa pays more attention to me than my parents do,attention to me than you do,neutral,0.8873631
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A", bad day at work has left me feeling drained,"<sentiment: negative>... need retail therapy, bad. A bad day at work has left me feeling drained",HH.....gimme money geebus,neutral,0.9978167
8be365118e,you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame , for not inviting me,<sentiment: negative>you are lame  for not inviting me,go make me breakfast!!,neutral,0.9883211
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im", not grounded but i have no one to go out with  x,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im not grounded but i have no one to go out with  x",just sat eating an apple and watching death note (some anime),neutral,0.503378
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another", day at work.,"<sentiment: neutral>Huh, another day at work.",ScarePoint coding Sunday,neutral,0.6897546
1fa8e6ad66,look who I found just for you  --->  {link},positive,<sentiment: positive>look who I found just for, you  {link},<sentiment: positive>look who I found just for you  {link},you  --->  {link},neutral,0.36222035
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...", and I have to work in 90+ heat,"<sentiment: negative>No AC, the fan doesnt swing our way... and I have to work in 90+ heat", we are sweating it out on a hot humid day,neutral,0.9584718
95701e8ed9,guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you, are a morning or night person.,<sentiment: neutral>guess that depends on if you are a morning or night person.,want to be on the jury,neutral,0.9722711
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey, D`s leftover Chinese for breakfast.,<sentiment: neutral>resorted to eating Mickey D`s leftover Chinese for breakfast.,Ds ALONE.,neutral,0.49897635
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not", interested.  I am going to go find a cute boy to look at.,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not interested.  I am going to go find a cute boy to look at.",going to camden and I like pop-punk and jimmy eat world,neutral,0.83067995
55c69c2d52,did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter, name? I don`t know.,<sentiment: neutral>did he ask for your Twitter name? I don`t know.,ID? Your sun sign?,neutral,0.59233695
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of, Proof. Good movie,<sentiment: positive>Watching Body of Proof. Good movie,Lies...good film,neutral,0.9128255
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for , work.  I`m going to be late if I don`t hurry,<sentiment: neutral>So I really need to put the laptop down & start getting ready for  work.  I`m going to be late if I don`t hurry,shindig...But I`ve missed my TwitterLoves all day,neutral,0.9957053
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing, something and it says 'out of paper',<sentiment: negative>feels sorry every time I`m printing something and it says 'out of paper',"out, I use like 200 new papers",neutral,0.45609725
87daa62920,4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,   i`m so lame.  hahaha,<sentiment: negative>4n? ma rog  never heard of it   i`m so lame.  hahaha, esti beat acum? u tweet too much,neutral,0.8268553
6506dc55ff,I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I, pack.  I`m so clumsy.,<sentiment: neutral>I always forget SOMETHING when I pack.  I`m so clumsy.,travel. I am at Newark airport.,neutral,0.9258862
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might, have to do that tomorrow.  {link},<sentiment: neutral>Should have left car and walked home! I might have to do that tomorrow.  {link},need someone to rescue me with petrol! Light flashing,neutral,0.9555122
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps , at him.  i`m not really on here that much.,<sentiment: neutral>i`m only updating this so that brett`s phone beeps  at him.  i`m not really on here that much.,but really.. looking at wedding stuff. again.for the next five months.,entailment,0.49910587
d3d7b13278,"Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children, are the best.  I have 3.,<sentiment: positive>Hi there.  I agree!  Small children are the best.  I have 3.,"should be running about happy, not breaking down in tears",neutral,0.9891867
ddc07db84e,Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin, a good day!,<sentiment: positive>Hope ur havin a good day!,fun in da club,entailment,0.56917006
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i, accidentally dropped it in the toilet and it stopped working,<sentiment: neutral>i miss my old phone it worked so good until i accidentally dropped it in the toilet and it stopped working,dropped it  i want a new one for my birthday...,neutral,0.994618
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks, you are right,<sentiment: positive>thinks you are right,SG is wonderful,neutral,0.9489015
ab57d75f20,im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u, feel  i hate it when that happens to me,<sentiment: negative>im really sorry i know wallah how u feel  i hate it when that happens to me,feel this life is shittttttttt,neutral,0.96035635
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a, chocolate milkshake!  I want to go to Sonic!,<sentiment: neutral>Is watching acoustic performances! & In the mood for a chocolate milkshake!  I want to go to Sonic!,good 'FRIENDS' episode! I miss that show,contradiction,0.6884464
d6c34fa875,I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate," between the two, thank you","<sentiment: neutral>I`ll oscillate between the two, thank you",from one to the other.,neutral,0.8087022
10dcbe4dfb,you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring, me back to the airport with you!,<sentiment: neutral>you should totally come get me and bring me back to the airport with you!,me to kelslaws house with you.,neutral,0.988203
a0bfb12773,"You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`","re following me, I approve","<sentiment: positive>You seem nice, you`re following me, I approve",e generous and you know your stuff,entailment,0.5638303
71f4a9b495,U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks,?  I`m so sad.  I want to cry. :`(,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks?  I`m so sad.  I want to cry. :`(, I figured I needed a longshot and they were a better bet than CAR,neutral,0.47671527
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday..., but it was a little too skittish,<sentiment: neutral>almost got a kitty yesterday... but it was a little too skittish,ut it didn`t work out,neutral,0.9961248
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party, but i have to work tomorrow.  oh well. goodnight.,<sentiment: neutral>reality needs to check in. schools over. time to party but i have to work tomorrow.  oh well. goodnight.," not tonight tho, im going to bed. night, night.",contradiction,0.6149586
fe1deac869,Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to, spend the day.  {link},<sentiment: positive>Caladesi was definitely a nice peaceful way to spend the day.  {link},spend a Sunday! I got a lil tan!,neutral,0.76574683
e591a725ef,i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know, what to do.,<sentiment: neutral>i still dont know what to do.,what we would do though,neutral,0.83312446
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its", not just me then  lol.,"<sentiment: neutral>_xo   dang it, so its not just me then  lol.",not certain ? ? ? are you okay?,neutral,0.8234181
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon, tonight.  I will see you tomorrow.,<sentiment: neutral>Change of plans. I am staying in Brandon tonight.  I will see you tomorrow.,  No Papaya Salad for me.,neutral,0.876096
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now", I have to go to work in it,"<sentiment: negative>Dear rain, you suck. Now I have to go to work in it",I gotta change my plans for tonight,neutral,0.9922679
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,ing twitter. i can`t tweet from my phone,<sentiment: neutral>at starbucks with my love. effing twitter. i can`t tweet from my phone,school. i have work later too.,contradiction,0.9545093
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks live  i miss my best friend,<sentiment: negative>I just cried whilst watching hollyoaks live  i miss my best friend,ks  .. i need a life! lol,neutral,0.86284673
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting", week ahead.  I`m going to be a big sister again!,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting week ahead.  I`m going to be a big sister again!",bank holiday around the diy shops...life cant get much better.surely,neutral,0.9822234
d41fe360e4,"for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.", u r awesome.  i`m sorry u lost.  ****.,"<sentiment: negative>for...the...loss. dumbface ...him, not u. u r awesome.  i`m sorry u lost.  ****.", what u up to on the wknd? i wanna seeeeeee ya!,contradiction,0.93191886
a04c8c8695,Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my, work email address to vote for you?,<sentiment: neutral>Why do I have to enter my work email address to vote for you?,registration details every time I update?,neutral,0.8513559
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able", to go to the pub with my friends  x,"<sentiment: positive>On the monday, so i wont be able to go to the pub with my friends  x",to be with you!  i love you,contradiction,0.8909259
5843d17b1d,"Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,", and I`m a fan of yours..I love you so much!,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream, and I`m a fan of yours..I love you so much!",This Kiss and appearances like in Dawson`s Creek  Make more flicks!,neutral,0.8075587
474d10ff48,TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke, my finger and it`s swollen and black and blue,<sentiment: neutral>TGIF is right...I think I broke my finger and it`s swollen and black and blue,my toe last night - on my bad foot.,neutral,0.99543226
38e69da3a1,"Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have", any idea what time it is over there?,"<sentiment: neutral>Oherr it`s soon then, do you have any idea what time it is over there?",plans? I had a party on saturday  x,neutral,0.7245226
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong", number.  try again.,"<sentiment: negative>: hmmm, wrong number.  try again.","link, ignore my tweet",neutral,0.88309324
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have, to wait until next week for my new phone.,<sentiment: negative>AT&T cheated the system and now I have to wait until next week for my new phone.,no Green Day tickets  **** you AT&T!,neutral,0.9956256
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart.  I miss my baby girl.,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart.  I miss my baby girl., heart  They split ways in the hallways.,neutral,0.91966105
1e46d72ec6,"yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they", had a drive in here too,"<sentiment: positive>yep, i wish they had a drive in here too",were all playing dubiln,neutral,0.9202618
390f169584,im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,s  but i will if you want me to,<sentiment: neutral>im a lady and ladies don`t move couchs  but i will if you want me to,s. they direct where the couches go,neutral,0.8949334
58129e4130,Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,  I`m so glad I got to see you in concert!,<sentiment: positive>Yay for Block Party!  You`re the BOMB!  I`m so glad I got to see you in concert!,Blockheads <3 Dave!   Thanks for supporting NKOTB!,neutral,0.96303093
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today, and named her Luna.  {link},<sentiment: neutral>Guess what? mom adopted a kitty today and named her Luna.  {link},(11 months) His name is Corky,neutral,0.99755436
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have, a great day and get to do something fun!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have a great day and get to do something fun!, the best day ever! Let`s go shopping!!!,neutral,0.9894253
5d57a5eda2,Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I, am so excited about it!,<sentiment: positive>Thank you!  I am so excited about it!,m working on `s,neutral,0.96250385
1e3561e921,lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how, long it will take me to do it  i`ll let u know,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how long it will take me to do it  i`ll let u know,i woulda made it wit out my ramen noodles and t.v. Time,neutral,0.9261565
cde0016d6d,"{link} - My ear hurts, and THIS is my medicine. GUM",negative,"<sentiment: negative>{link} - My ear hurts,", and I have a headache.  FML,"<sentiment: negative>{link} - My ear hurts, and I have a headache.  FML",and THIS is my medicine. GUM,neutral,0.52935153
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMA,O I know right?,<sentiment: neutral>_berland LMAO I know right?, I know I know,neutral,0.49814302
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking, into my skin and it hurts so bad,<sentiment: negative>The underwire in my bra is sticking into my skin and it hurts so bad,out and poking me in the armpit,neutral,0.9661738
2afe118dc3,I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!,  I`m at work!,<sentiment: neutral>I can`t call Mitch!  I`m at work!, Im from sweden!,neutral,0.95770437
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!, May the 4th be with you,<sentiment: positive>Happy star wars day! May the 4th be with you,May the fourth be with you,contradiction,0.7922552
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i, just bought but its not ripe yet  oh well,<sentiment: neutral>was so excited to eat the wartermelon i just bought but its not ripe yet  oh well,bought the other day and it was terrible and not sweet,contradiction,0.5868745
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &, Me and i cried so hard,<sentiment: negative>i just watched Marley & Me and i cried so hard,Me...i cried so hard!,neutral,0.95357937
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean, my desk and computer and phone.,<sentiment: neutral>Take antibacterial to school to clean my desk and computer and phone.,your hands when you cant go the loos,neutral,0.7382152
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday, or Monday. I`m not sure if I`m ready to go back,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday or Monday. I`m not sure if I`m ready to go back,afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,0.8505363
eb2fc4d281,haaaw..well i get out of class at 10:50..i hope i make it,positive,<sentiment: positive>haaaw..well i get out of class, in 10 min..i`m so excited,<sentiment: positive>haaaw..well i get out of class in 10 min..i`m so excited,at 10:50..i hope i make it,neutral,0.9777232
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be", gone by the time I get home from work.  {link},"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be gone by the time I get home from work.  {link}",gone by the time I leave work and replaced with rain.  /vent,neutral,0.9975019
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill, and amy  {link},<sentiment: neutral>skype call with bill and amy  {link},e but my webcam dont work,contradiction,0.94635403
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with, my best friend.  I love my life right now.,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with my best friend.  I love my life right now.,"Arty! Now, trying to get back into the study mood",neutral,0.9937827
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car, is a real pain in the butt,<sentiment: negative>FML not having a car is a real pain in the butt,is prohibiting finding a job,neutral,0.9771392
1256e6a4d2,"lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,"<sentiment: neutral>lol since I got twitter a little while ago,", it`s been nothing but rain  how are you?,"<sentiment: neutral>lol since I got twitter a little while ago, it`s been nothing but rain  how are you?",it seems like loads of people setting up an account,contradiction,0.70505947
990cdeae87,I want to see David cook!!,positive,<sentiment: positive>I want to, go to the beach,<sentiment: positive>I want to go to the beach,see David cook!!,neutral,0.98530364
c8307a482d,learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to, go to the gym but i did anyway!,<sentiment: neutral>learning tat the scenic way  din plan to go to the gym but i did anyway!,go town but somehow was herded there?,contradiction,0.6369241
0a21b662a4,"i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,", just chill at home and watch a movie or something,"<sentiment: neutral>i don`t want to do anything specific, just chill at home and watch a movie or something",i just want to see you and puppy!,neutral,0.99451077
297f7d9e0f,yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home, and work and no one answers  i wanna talk to him,<sentiment: negative>yeah i need his fricken cell number ive tried his home and work and no one answers  i wanna talk to him,for months and hes too busy. i miss braddddddddd,neutral,0.76149213
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,<sentiment: neutral>Toy Story 3 trailer premiered with, Up. I missed it.,<sentiment: neutral>Toy Story 3 trailer premiered with Up. I missed it.,Up. I need my computer back.,neutral,0.6992835
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the, way to work.,<sentiment: neutral>ughh on the way to work.,phone with HP!,neutral,0.64514714
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made, from a plastic container & a wooden spoon.  {link},<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made from a plastic container & a wooden spoon.  {link}, from exotic woods ... one of which is called 'purple heart',contradiction,0.8473855
e6c154f9be,bahah sadly I am not,negative,<sentiment: negative>bahah sadly, you are not alone,<sentiment: negative>bahah sadly you are not alone,I am not,neutral,0.6773553
e96d849b35,i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my, lunches. they are so delicious,<sentiment: positive>i always have those for my lunches. they are so delicious,Champions League parties  Tis awesome,neutral,0.9977012
124e30d941,"well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with", good people. good people will make you feel good. bad people will make you,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with good people. good people will make you feel good. bad people will make you","those who don`t. happy mother`s day to ur mom, treiz!",neutral,0.6641268
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they," do, then we`ll see what we can do","<sentiment: neutral>_Adel they didn`t reply yet.. wait till they do, then we`ll see what we can do",confirm.. in case somebody might have translated it already..,neutral,0.99451256
e90acf3c42,thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the, end. he can`t do much but he can walk without a cane now,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the end. he can`t do much but he can walk without a cane now,end. Let us know the results. We`ll keep him in our prayers,neutral,0.99467
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,<sentiment: neutral>might have to go back much earlier, than planned.  {link},<sentiment: neutral>might have to go back much earlier than planned.  {link},than expected. bye bye bay area,neutral,0.51690227
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish", it was on Steam so I could play with friends,"<sentiment: positive>Playin City of Villains, wish it was on Steam so I could play with friends",n my buddies were playin with me.....,neutral,0.9960752
161bfc7c8a,"yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive>yep - three things: a good haircut, the"," ability to sleep in, and a good book. Enjoy","<sentiment: positive>yep - three things: a good haircut, the ability to sleep in, and a good book. Enjoy",ability to listen and the value of not taking yourself too seriously,contradiction,0.77222204
4a65010643,riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter, and changed my background.,<sentiment: neutral>riley hacked my twitter and changed my background.,  hahaha :],neutral,0.97512406
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,   I want to search for {username} on Bing.,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.   I want to search for {username} on Bing., It just takes you to the regular mobile Live search.,neutral,0.8400523
43e91a5488,I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive>I liked it.  Did you record it yourself,?  I`m going to bed now.,<sentiment: positive>I liked it.  Did you record it yourself?  I`m going to bed now.,  If so you have a very soothing voice.,contradiction,0.8160452
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending  but, im so excited for the summer and my birthday!,<sentiment: neutral>man im so sad school is ending  but im so excited for the summer and my birthday!,then again high school might be better :O,contradiction,0.9973488
