textID,original,sentiment,prefix,completion,combined,cosine_sim
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now"," know that I`m not the best, I`m just a human being like everyone else","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now know that I`m not the best, I`m just a human being like everyone else",0.21231630444526672
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm., It's so loud.,<sentiment: negative>Stupid storm. It's so loud.,0.13978643715381622
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more, for his funeral than I do rent,<sentiment: negative>My dead grandpa pays more for his funeral than I do rent,0.41884538531303406
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A", good night`s sleep would be nice too.,"<sentiment: negative>... need retail therapy, bad. A good night`s sleep would be nice too.",0.08721020817756653
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to, go to bed,<sentiment: neutral>about to go to bed,0.27930396795272827
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame , for not inviting me,<sentiment: negative>you are lame  for not inviting me,0.2087889015674591
c50bdd4567, thats so cool,positive,<sentiment: positive>th,ats a good idea,<sentiment: positive>thats a good idea,0.06519812345504761
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im", not grounded but i feel like it  xoxo,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im not grounded but i feel like it  xoxo",0.6996905207633972
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another", day of no school,"<sentiment: neutral>Huh, another day of no school",0.08359202742576599
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->, http://tinyurl.com/cf2y2c,<sentiment: positive>look who I found just for you  ---> http://tinyurl.com/cf2y2c,0.12825030088424683
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...", and the window is open...  I'm melting,"<sentiment: negative>No AC, the fan doesnt swing our way... and the window is open...  I'm melting",0.17015887796878815
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you, are a fan of the cold,<sentiment: neutral>guess that depends on if you are a fan of the cold,0.18587955832481384
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey, D`s leftover pizza.,<sentiment: neutral>resorted to eating Mickey D`s leftover pizza.,0.25473344326019287
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not", interested.  I am not in the mood for a fake emo chick.,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not interested.  I am not in the mood for a fake emo chick.",0.4354404807090759
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter, name? I have two.,<sentiment: neutral>did he ask for your Twitter name? I have two.,-0.009827704168856144
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d, you go?,<sentiment: neutral>where`d you go?,0.16868487000465393
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of, Proof. Goodnight,<sentiment: positive>Watching Body of Proof. Goodnight,0.1278935670852661
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums  love you!,<sentiment: positive>Happy mothers day mums  love you!,0.19748252630233765
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for , work.  I`m going to be late if I don`t hurry,<sentiment: neutral>So I really need to put the laptop down & start getting ready for  work.  I`m going to be late if I don`t hurry,0.21937009692192078
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry , to hear that.,<sentiment: negative>I`m sorry  to hear that.,0.07826434075832367
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing, something and I see the copier jam.,<sentiment: negative>feels sorry every time I`m printing something and I see the copier jam.,0.15853294730186462
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,  http://tinyurl.com/c2y2tj,<sentiment: negative>4n? ma rog  never heard of it  http://tinyurl.com/c2y2tj,0.15223801136016846
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I, leave the house.  #fb,<sentiment: neutral>I always forget SOMETHING when I leave the house.  #fb,0.09871035814285278
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might, have to do that tomorrow.  #obesetweet,<sentiment: neutral>Should have left car and walked home! I might have to do that tomorrow.  #obesetweet,0.23843899369239807
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps , at him.  i don`t really have anything to say to anyone.,<sentiment: neutral>i`m only updating this so that brett`s phone beeps  at him.  i don`t really have anything to say to anyone.,0.1795068085193634
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children, are the best.  Enjoy your day!,<sentiment: positive>Hi there.  I agree!  Small children are the best.  Enjoy your day!,0.24382688105106354
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin, a good day so far,<sentiment: positive>Hope ur havin a good day so far,0.3287890553474426
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i, accidentally dropped it in the toilet and it stopped working,<sentiment: neutral>i miss my old phone it worked so good until i accidentally dropped it in the toilet and it stopped working,0.1684543341398239
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks, she is awesome,<sentiment: positive>thinks she is awesome,0.09292986243963242
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u, feel  i hate it when that happens to me,<sentiment: negative>im really sorry i know wallah how u feel  i hate it when that happens to me,0.20068946480751038
f0acd25d8e,Not happy,negative,<sentiment: negative>Not, a happy bunny,<sentiment: negative>Not a happy bunny,0.15681573748588562
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a, good night with a good friend.  <3,<sentiment: neutral>Is watching acoustic performances! & In the mood for a good night with a good friend.  <3,0.2199934422969818
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate, between both of those all day,<sentiment: neutral>I`ll oscillate between both of those all day,0.15602806210517883
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very, sad. I miss my baby,<sentiment: negative>I`m so very sad. I miss my baby,0.19104333221912384
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks, for the follow,<sentiment: positive>Thanks for the follow,0.12989714741706848
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring, me back to the 317 with you,<sentiment: neutral>you should totally come get me and bring me back to the 317 with you,0.12518346309661865
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re the first one to say that,"<sentiment: positive>You seem nice, you`re the first one to say that",0.19663819670677185
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks, for the Stanley Cup?  I guess I`ll just have to wait till next year,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks for the Stanley Cup?  I guess I`ll just have to wait till next year,0.2723821997642517
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday..., but it was a no go,<sentiment: neutral>almost got a kitty yesterday... but it was a no go,0.19891797006130219
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,. but i have to work tomorrow.  oh well.,<sentiment: neutral>reality needs to check in. schools over. time to party. but i have to work tomorrow.  oh well.,0.19258233904838562
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to, spend the day.  Now I`m home,<sentiment: positive>Caladesi was definitely a nice peaceful way to spend the day.  Now I`m home,0.043260011821985245
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know, what to do.,<sentiment: neutral>i still dont know what to do.,0.07945425808429718
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its", not just me then  lol.,"<sentiment: neutral>_xo   dang it, so its not just me then  lol.",0.1292652189731598
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon, tonight. I don`t feel like driving.,<sentiment: neutral>Change of plans. I am staying in Brandon tonight. I don`t feel like driving.,0.22529202699661255
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now", I`m gonna be late.,"<sentiment: negative>Dear rain, you suck. Now I`m gonna be late.",0.07043005526065826
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff, the weather. i want to go home,<sentiment: neutral>at starbucks with my love. eff the weather. i want to go home,0.14414696395397186
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks live  i miss my best friend,<sentiment: negative>I just cried whilst watching hollyoaks live  i miss my best friend,0.05693080276250839
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting"," weekend, going to see the Jonas Brothers on Sunday  xoxo","<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting weekend, going to see the Jonas Brothers on Sunday  xoxo",0.19625388085842133
29f805a7d2,Terminator Salvation... by myself.,neutral,<sentiment: neutral>Terminator Salvation, was awesome but sad.,<sentiment: neutral>Terminator Salvation was awesome but sad.,0.19133590161800385
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.", u r awesome.  i`m sorry u lost.  <3,"<sentiment: negative>for...the...loss. dumbface ...him, not u. u r awesome.  i`m sorry u lost.  <3",0.3789644241333008
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my, age to see the Jonas Brothers on YouTube?,<sentiment: neutral>Why do I have to enter my age to see the Jonas Brothers on YouTube?,0.024164993315935135
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able", to go to the concert  but i love you,"<sentiment: positive>On the monday, so i wont be able to go to the concert  but i love you",0.1556222140789032
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,", and I`m a fan of u 2..Love u so much!,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream, and I`m a fan of u 2..Love u so much!",0.29085206985473633
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke, my finger today...I`m going to bed,<sentiment: neutral>TGIF is right...I think I broke my finger today...I`m going to bed,0.2073582112789154
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have", any idea when you`ll be in the UK?,"<sentiment: neutral>Oherr it`s soon then, do you have any idea when you`ll be in the UK?",0.20564207434654236
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr, welcome  xoxo,<sentiment: positive>_LaMont yr welcome  xoxo,0.21263065934181213
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong", number  try again please,"<sentiment: negative>: hmmm, wrong number  try again please",0.11432795226573944
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have, to wait until next week to get my new phone,<sentiment: negative>AT&T cheated the system and now I have to wait until next week to get my new phone,0.22403471171855927
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart.  I`m so sad.,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart.  I`m so sad.,0.23666195571422577
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they", had a twitter for the show,"<sentiment: positive>yep, i wish they had a twitter for the show",0.1928849071264267
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,s  i need a few more strong men.,<sentiment: neutral>im a lady and ladies don`t move couchs  i need a few more strong men.,0.14922970533370972
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,   I`m so glad I got to meet you!  <3,<sentiment: positive>Yay for Block Party!  You`re the BOMB!   I`m so glad I got to meet you!  <3,0.31730741262435913
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>26, days!,<sentiment: neutral>26 days!,0.19645343720912933
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today, and I`m going to name him,<sentiment: neutral>Guess what? mom adopted a kitty today and I`m going to name him,0.043214041739702225
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have, a great day and a great year to come!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have a great day and a great year to come!,0.4141945540904999
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I, hope you have a great day,<sentiment: positive>Thank you!  I hope you have a great day,0.38516974449157715
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how, long it`ll take me to get there  i`ll be there soon,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how long it`ll take me to get there  i`ll be there soon,0.1433151364326477
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all, that great today.,<sentiment: negative>Not feeling all that great today.,0.2192026674747467
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -, my eyes are red and puffy from crying.  stupid movie,<sentiment: negative>http://twitpic.com/4wp8s - my eyes are red and puffy from crying.  stupid movie,0.12010188400745392
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMA,O I know right?,<sentiment: neutral>_berland LMAO I know right?,0.06838288903236389
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,>`) >  <3,<sentiment: neutral>Gnight shar   <(` `<>`) >  <3,0.3763362467288971
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking, into my side.  Owies.,<sentiment: negative>The underwire in my bra is sticking into my side.  Owies.,0.3070141673088074
3a98aa4762,Happy Mothers Day!!!,positive,<sentiment: positive>Happy, Mothers Day,<sentiment: positive>Happy Mothers Day,0.13129785656929016
886545bbab,"Yes, I am",neutral,<sentiment: neutral>Yes, it is,<sentiment: neutral>Yes it is,0.25633665919303894
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!, He doesn`t have a cell phone,<sentiment: neutral>I can`t call Mitch! He doesn`t have a cell phone,0.2318282127380371
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!, May the 4th be with you,<sentiment: positive>Happy star wars day! May the 4th be with you,0.2089623510837555
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i," just bought, but its not ripe yet.","<sentiment: neutral>was so excited to eat the wartermelon i just bought, but its not ripe yet.",0.28383249044418335
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &," Meadow, it made me sad","<sentiment: negative>i just watched Marley & Meadow, it made me sad",0.20342321693897247
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean, my desk and computer and keyboard.,<sentiment: neutral>Take antibacterial to school to clean my desk and computer and keyboard.,0.1124815046787262
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday, or Monday. I`m not sure if I`m ready for that.,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday or Monday. I`m not sure if I`m ready for that.,0.41758760809898376
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,<sentiment: positive>haaaw..well i get out of class, early so i can go to the gym and stuff,<sentiment: positive>haaaw..well i get out of class early so i can go to the gym and stuff,0.07514245808124542
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be", gone by the time I get home.  #canada #weather,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be gone by the time I get home.  #canada #weather",0.2661862373352051
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill, and jessie.,<sentiment: neutral>skype call with bill and jessie.,0.08598849177360535
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with, my best friend.  I love my life right now.,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with my best friend.  I love my life right now.,0.08423204720020294
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car, is going to be a real problem,<sentiment: negative>FML not having a car is going to be a real problem,0.1284092217683792
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,"<sentiment: neutral>lol since I got twitter a little while ago,", I`ve been following you.  Night!,"<sentiment: neutral>lol since I got twitter a little while ago, I`ve been following you.  Night!",0.14843638241291046
990cdeae87, I want to see David cook!!,positive,<sentiment: positive>I want to, go to the beach,<sentiment: positive>I want to go to the beach,0.06785260885953903
9a55d83c79, yeh me 2,neutral,<sentiment: neutral>yeh, it is,<sentiment: neutral>yeh it is,0.20056003332138062
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to, go to the gym but i guess i will,<sentiment: neutral>learning tat the scenic way  din plan to go to the gym but i guess i will,0.016442153602838516
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,", just chill at home and watch a movie or something,"<sentiment: neutral>i don`t want to do anything specific, just chill at home and watch a movie or something",0.2556956112384796
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home, number and hes not answering  i wanna talk to him so bad,<sentiment: negative>yeah i need his fricken cell number ive tried his home number and hes not answering  i wanna talk to him so bad,0.5570071339607239
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,<sentiment: neutral>Toy Story 3 trailer premiered with, Up. I want to see it now,<sentiment: neutral>Toy Story 3 trailer premiered with Up. I want to see it now,0.2689397633075714
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the, way to work.,<sentiment: neutral>ughh on the way to work.,0.13471382856369019
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made," from a plastic container, felt, and a lot of love.","<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made from a plastic container, felt, and a lot of love.",0.27406659722328186
322546026e, yay about breaking 200!,positive,<sentiment: positive>yay about, the new job!,<sentiment: positive>yay about the new job!,0.20680952072143555
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative>bahah sadly, not in my area,<sentiment: negative>bahah sadly not in my area,0.06656286120414734
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my, lunches. they are so good,<sentiment: positive>i always have those for my lunches. they are so good,0.15951178967952728
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with", good people. good people will make you feel good. bad people will make you,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with good people. good people will make you feel good. bad people will make you",0.36684751510620117
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they," do, then we`ll see what we can do","<sentiment: neutral>_Adel they didn`t reply yet.. wait till they do, then we`ll see what we can do",0.1440666913986206
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the, end. he can`t walk right yet but he can run.  lol,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the end. he can`t walk right yet but he can run.  lol,0.17425131797790527
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,<sentiment: neutral>might have to go back much earlier, than planned.  #asot400,<sentiment: neutral>might have to go back much earlier than planned.  #asot400,0.15027296543121338
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish", I had a guitar to play it on,"<sentiment: positive>Playin City of Villains, wish I had a guitar to play it on",0.1216437965631485
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive>yep - three things: a good haircut, the"," ability to sleep in, and a day off work.","<sentiment: positive>yep - three things: a good haircut, the ability to sleep in, and a day off work.",0.1548875868320465
4a65010643, riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter, lol  i love him,<sentiment: neutral>riley hacked my twitter lol  i love him,0.135724276304245
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,  http://tinyurl.com/cf2y2c,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.  http://tinyurl.com/cf2y2c,0.13767625391483307
