text,sentiment
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",positive
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
:visiting my friendster and facebook,neutral
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,negative
" also bored at school, its my third freelesson( freistunde )",negative
 hm... Both of us I guess...,neutral
 it is ****...u have dissappointed me that past few days,negative
 romance zero is funny,positive
 I`d rather do the early run..but I am a morning runner,neutral
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
will be back later.  http://plurk.com/p/rp3k7,neutral
Aw. Torn ace of hearts  #Hunchback,neutral
 what fun are you speaking of?,positive
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
 haha yes,positive
I give in to easily,negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
Is at a photoshoot.,neutral
  He`s awesome... Have you worked with him before? He`s a good friend.,positive
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,positive
Chilliin,neutral
" If you know such agent, do let me know",neutral
I still smell of smoke  #kitchenfire,negative
 a celtics-lakers rematch sounds better don`t you think? lol,positive
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",positive
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,positive
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
 My sources say no,neutral
I am sooo tired,negative
" Hey, you change your twitter account, and you didn`t even tell me...",negative
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
 lucky kid...i so wanna see loserville  pity im in oz....,positive
fell asleep waiting for my ride!,neutral
Sick. With a flu like thing.,negative
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,positive
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",negative
i miss you bby      wish you were going tomorrow to make me do good.,positive
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive
_Mounce yes and it lasts way past my bedtime!,negative
 Hi  how are you doing ???  *just joined twitter...*,neutral
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
eating ice cream and then getting ready for graduation.,neutral
Happy Mothers day to all you Mums out there,positive
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
 hemp cloth is marvelous but unfortunately no,negative
Gonna read a story bout adam lambert online then bed. Nighty night,neutral
 We saw that in none 3D - the baddie`s the best,positive
4am. And Im on the beach. Pretty,positive
" Certainly not Cheers than, huh?",negative
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative
i realy wanted to go out cause its so nice but everybodys busy,positive
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
at least I get to watch over time  Let`s go Pens!!,positive
 cool i wear black most of the time when i go out,neutral
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
" woof, I wish I was allowed to go",positive
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,positive
  has tickets.......?,neutral
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,negative
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
So many tests todayyy  I don`t feel confident about anyy.,negative
graduation is done  im a little sad.. anyone want to hang out???,negative
 hahaa your awesomee !,positive
holy smokes! star trek was freaking awesomeeeee,positive
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",negative
" I had it! On my itunes, but then I lost all my songs.",negative
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,negative
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",positive
not well,negative
 Not a prob hun,neutral
"at dads, watching some mtv and am going on sims2 in a minutee",neutral
 Absolutely,positive
 what`s the matter chickadee?,negative
 hey mia!  totally adore your music.  when will your cd be out?,positive
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
 =O you need to ask him something? Lmao I love him too,positive
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
 why are you sad?,negative
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,negative
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",positive
Humous and Dorito`s.... Oh yes,positive
"missed all the awesome weather, because she was in a movie!",positive
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,positive
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
" What`s sad is that I actually had to google that term. That sucks, tho.",negative
Hate fighting,negative
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",positive
Car-warmed Sprite tastes like sore throat,negative
Just came 11th in cross country and beat dumbo,positive
Candle wax is very enjoyable.,positive
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
 me too. I hate my computer so much..,negative
 fine! Going to do my big walk today 20 or so miles,positive
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
Mmmmmmmm... ? it in the morning,neutral
 me neither,neutral
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
Bugger. forgot I still have washing in my machine,negative
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive
My back hurts...really bad,negative
" ah yes, I know that feeling",positive
Night of the cookers with my dad,neutral
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative
 Nope I am in Coquitlam,neutral
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,negative
Few Bevvies 2day in twn..great on a day off!!,positive
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
 good morning,positive
 its the best show EVER!,positive
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,neutral
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,negative
 I want to know when the auditions are Mander! Text or...reply please!,neutral
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
 I miss my neice  can`t wait to see her bad n grown ****! Lol,positive
i need to get my computer fixed,negative
really hopes her car`s illness is not terminal...,negative
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",positive
 no sir...i woulda put honey...but i don`t have any,negative
who watched X-men origins: wolverine? i totally loved it! haha,positive
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
 I`m sad that I missed you guys last night!,negative
Finally got a call for marriage counseling 3 days late....,negative
 ok then,neutral
_420 why baby?,neutral
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,negative
lost my tooth 2day whilst i was eating gum...oww,negative
happy 1 year! <3,positive
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,positive
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,positive
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
 i talk to you,neutral
im soo bored...im deffo missing my music channels,negative
 nite nite bday girl  have fun at concert,positive
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",positive
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,negative
should be sleeping.  lost my voice a couple day ago.,negative
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
 I`ve heard this fall. I`m waiting too!,neutral
 more nightmares?  *huggles*,neutral
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
going to bed its late and I have headache,negative
happy mother`s day to all moms out there...,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
 thanks. before the major chop.,positive
" Haha I know, I cant handle the fame!  and thank you!",positive
just got up and updated my ipod,neutral
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
 We never miss ICarly - my son has a huge crush on Miranda,positive
Saw James carville in the store today. His head is really that bald,negative
yellow for   ? http://blip.fm/~5z05g,neutral
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
Feeling smooth like chrome,positive
Ew traffic,negative
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
@_Ra_Ra_ your not alone...i need coffee too.,neutral
 Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,negative
Walking to class. I hate not having a bike....especially mine.,negative
_nesmith,neutral
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
happy mother`s day to all the mothers in the world.,positive
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
The exception for a short dude: Larenz fineass Tate yum,positive
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",neutral
 Yes i work 6 to 3...,neutral
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
Done at the spa   now meeting vic for some late lunch!,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
 Always have wanted to go to Oz,positive
 Thx,positive
 http://twitpic.com/4jaz5 - Cool... luv it,positive
  that`s why I need to be there...To represent the Blackberries,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,negative
 If only we could ever actually be allowed to stay here and do that,neutral
 Let me know how that turns out!!,positive
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral
" yeah I was thinking about that ,ahaha",neutral
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
I`m not sleeping at all until  accepts my appology,neutral
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",positive
" I live for pain, bring it on",negative
"okay, i`m out for a while  back later!",neutral
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,negative
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
going to shower because i don`t want to smell at school tomorrow,negative
 Sigh... you know I am...,neutral
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",neutral
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,positive
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
 it was only once for my big brother...and I`m done now,negative
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,negative
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
  hope he is ok!,positive
can`t school just be done already? it hurts too much... seeing him every day,negative
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
 Hell Yeah!,positive
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
 i know!!,positive
 huh what the ****? Smelly? Noooo. I love alex Vixon,negative
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
HAPPY MOTHERS DAY.!,positive
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
  Thanks,positive
twittering after 2 days!,neutral
Getting ready for week  Its too nice today to be stuck inside working!,positive
I am tres depressed,negative
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
Happy Mothers Day people. i love my mom a lot still,positive
 I`m sorry to hear that.,negative
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
Is getting the hang of Twitter.,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
I want it BACK NOW!: http://bit.ly/PP1WZ,positive
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
"bathing with two little angels, Keyla and Janice.",neutral
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",neutral
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,positive
"Family is here,hanging with them",positive
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
 what`s goin on hun?  I`m worried about you,negative
 Im not bannished... but I am at work till 6,neutral
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",positive
" red top tabloids, build em up, knock em down",neutral
tonight in party w/ my girls (minus vita),neutral
  why not now you made me sad I thought you`d be jumping for joy,negative
 Simple my a#@,negative
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",positive
" I saw the play of it here, it was amazing",positive
 _ i am glad to break my twitter virginity with you two.,positive
Dinner with the fam... I have missed them,positive
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",positive
Hell yeah Kellynn got a Twitter. Finally.,positive
" I know   It was worth a shot, though!",positive
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",negative
Ship. I`m stuck.,negative
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
today is a busy day. exhausting!,negative
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral
 Sorry to hear ur flight got cancelled  that blows!!!,negative
ohh my tooth is hurts ohh  im sad it very hurts,negative
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,positive
sore throat. Planning the TET outing to Marwell though...good times,positive
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
 There!,positive
?sucks!?..,negative
 whens the sway sway winner announced?,neutral
 K will check it out...,neutral
" doing pretty well, up and wide awake",positive
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",positive
I Miss Daddy and Mommy,neutral
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
I just realized that I can`t forward text msgs with my iPhone.,negative
"My frist post... Off to find a new car for my parents, exciting!",positive
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
seriously bored without anyone to talk to... but not tired enough for sleep,negative
 I am lost. Please help me find a good home.,negative
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",negative
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
 LMAO... Smh!  that one threw me off.,negative
 oh nice going!,positive
Is getting ready for work... Working all weekend,neutral
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
 i agree with you!,positive
 I only do computers. Am hopeless at everything else,negative
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
_2nd aww thanks!,positive
 Sorry RB is on PS3 for me,neutral
I saw amazing heeels. But they were too big,positive
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
dang last url went down  ? http://blip.fm/~7aigm,negative
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
 my boss. She`s moving to NYC,neutral
this is sooo crazy i have fever..,negative
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative
I think i need some new friends,neutral
 Looking forward to your gig in Ireland!!!  See ya there!,positive
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,neutral
aww  you loooove me,positive
"is hungry, twitter.  i want food. </3",neutral
awesome lucky you,positive
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",positive
" haha im jewish, i love that one",positive
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",positive
 l`m on 3 days too matt. No fun this weekend.,negative
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
 I feel your pain. Mine is the same way,negative
comes home in two days,positive
 Sadly no. It didn`t come with one...,negative
Cant wait to see my boy tomorrow,positive
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
 aww I miss driving down elmwood,positive
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive
_30439 I really wish I could go!,positive
" yeah real hard, but I know you`ll get by with it... smile",positive
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative
  This has made my night!!  Way too funny!!,positive
Woo CAVS.  Happy Mother`s Day!,positive
 I make that same face when I get home and your mom is watching soaps.,neutral
I have to go to work now.,neutral
 I can`t believe you went and got boba without me.,negative
"  And to you too, how are you today?",neutral
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive
19 days and counting,neutral
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
BRAINFREEZE,neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,negative
"My sunburn is peeling,",negative
perky purple nail polish isn`t as perky when its chipped,negative
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",negative
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
I hate the dentist,negative
" nothing aimed at you, just joining in...sorry",negative
I`m taking a twitter break. Cell is dying,negative
 qood morninq,neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,positive
needs more followers,neutral
I wish I could get my nails done  stupid job,negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,positive
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
 Have a good one,positive
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive
Dosen`t Want To Go To Work Tomorrow,negative
Daniel has won DSDS. His voice is great.,positive
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral
was hoping to go to Red Lobster this weekend,positive
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
I sure do hope it becomes 4:20 this afternoon ...,positive
 it means that you are now FAMOUS. Congrats!,positive
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive
tamlyn wishes she was as cool as my sock draw,positive
 so no rice or crusty bread with the chili .... aawww,neutral
"  We are of like minds this evening , my dear!",positive
come and save me from my packing please?!,neutral
"Yes, I love tea. If that makes me typically English then so be it",positive
 a mouth for sure,neutral
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral
 pancakes!! with lemon and sugar thanks!,positive
" Si, no bueno  I guess I just don`t entertain him :/",negative
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative
Goodmorning,positive
Took a shift tomorrow.    I don`t really feel like working right now.,negative
" I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
No waterfront anymore   faccia luna and clarendon will have to do,neutral
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
Slipped up and caught the flu  feeling like poop!,negative
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral
" If u do, please pray 4 me.  Lord knows I need it.",positive
aaaaaw i want to live in the USA,positive
Morning tweeple,positive
" Hey, I didn`t get any !!!",negative
 Now you only have 2 hours to sleep...  - Rest if you need it.,neutral
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",positive
I don`t want to sit at home on prom night. Someone hang out with me,negative
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,neutral
concert tonight  chackin out and not coming tomorrow!,negative
 what happened? I thought you were coming back today....,neutral
 lol dammit  well then next time then,negative
 lol. just don`t ever forget me,positive
 Still jealous,negative
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,neutral
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative
this week of mine was not easy!  but finally it`s over! (:,positive
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",positive
 but you always have lee. Let`s go to Paris,neutral
