textID,text,sentiment,predicted_sentiment
6649f3558c, Not a prob hun,positive,neutral
8e1583cb08, Absolutely,neutral,positive
4ea61dbc7a, what`s the matter chickadee?,neutral,negative
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,negative
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,positive
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,positive
cb1b0d191d,"missed all the awesome weather, because she was in a movie!",negative,positive
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,positive
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,positive
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,positive
08975f62a8," ah yes, I know that feeling",neutral,positive
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,negative
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,neutral
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,negative
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,positive
8d09044937,i need to get my computer fixed,neutral,negative
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,positive
5a254fbb98, no sir...i woulda put honey...but i don`t have any,neutral,negative
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,negative
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,negative
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,positive
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,positive
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,positive
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,negative
b6b35af246, thanks. before the major chop.,neutral,positive
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,negative
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,negative
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,positive
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,neutral
1af124bc1c, Always have wanted to go to Oz,neutral,positive
e98226e842, Thx,neutral,positive
0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,negative
37f6bd5ac5, Let me know how that turns out!!,neutral,positive
7436ec1a2c," yeah I was thinking about that ,ahaha",positive,neutral
ce69e99e71,I`m not sleeping at all until  accepts my appology,negative,neutral
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,positive
914c40995f," I live for pain, bring it on",neutral,negative
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,negative
7e3c091fc2,going to shower because i don`t want to smell at school tomorrow,neutral,negative
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,neutral
251aa82551,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,positive
dbe1d16b29, it was only once for my big brother...and I`m done now,neutral,negative
7809dd704a,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,negative
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,positive,negative
de8c4c410d, Hell Yeah!,neutral,positive
394881b7d0, i know!!,neutral,positive
52d8be9124, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,negative
2dd0cddb70,I want it BACK NOW!: http://bit.ly/PP1WZ,neutral,positive
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,neutral
f5b15be6f6, HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,positive
68bda81bb9,"Family is here,hanging with them",neutral,positive
b09362ee8e, Im not bannished... but I am at work till 6,negative,neutral
c4f9792d55," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,positive
7b69f49c42,tonight in party w/ my girls (minus vita),positive,neutral
519a5d3be7,  why not now you made me sad I thought you`d be jumping for joy,neutral,negative
aa97eca66f, Simple my a#@,neutral,negative
d3230b7cfd,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,positive
b7a9ba95d0,Dinner with the fam... I have missed them,negative,positive
6943d0f480,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,positive
9e047ed52a,Hell yeah Kellynn got a Twitter. Finally.,neutral,positive
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,negative
ed6c2e4824, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,positive
a8f2acd515,sore throat. Planning the TET outing to Marwell though...good times,neutral,positive
be8544ffb1, There!,neutral,positive
3d208b8e59,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,positive
f1f5e8edfa,I Miss Daddy and Mommy,negative,neutral
728c29215f,I just realized that I can`t forward text msgs with my iPhone.,neutral,negative
c20cb786c4,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,negative
58eda20efc, LMAO... Smh!  that one threw me off.,neutral,negative
1f581d48bc, Sorry RB is on PS3 for me,negative,neutral
c42982a22d,I saw amazing heeels. But they were too big,neutral,positive
98ff5a440e, Looking forward to your gig in Ireland!!!  See ya there!,neutral,positive
b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,neutral
b751f39570," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral,positive
f38f53fbde,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral,positive
3696d1db81,comes home in two days,neutral,positive
81e29d1a0b, aww I miss driving down elmwood,negative,positive
759b899f29," yeah real hard, but I know you`ll get by with it... smile",neutral,positive
dbc45af041, I can`t believe you went and got boba without me.,neutral,negative
340600d483,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,negative
9e964bdfda,perky purple nail polish isn`t as perky when its chipped,neutral,negative
3d635198c2,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,negative
85b2dbf969,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,positive
ef200df027,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral,positive
7a341d71fe,was hoping to go to Red Lobster this weekend,neutral,positive
38c25280f1,"  We are of like minds this evening , my dear!",neutral,positive
715e081e22, a mouth for sure,positive,neutral
86462cc997,No waterfront anymore   faccia luna and clarendon will have to do,negative,neutral
f5c5fbc40b," If u do, please pray 4 me.  Lord knows I need it.",neutral,positive
124e448e00,aaaaaw i want to live in the USA,neutral,positive
7286b251ca," Hey, I didn`t get any !!!",neutral,negative
4a704b77f2, Now you only have 2 hours to sleep...  - Rest if you need it.,positive,neutral
d046aa63bc,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral,positive
d66f920dbd,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,neutral
64f91449b7,concert tonight  chackin out and not coming tomorrow!,neutral,negative
754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative,neutral
888304834,this week of mine was not easy!  but finally it`s over! (:,negative,positive
c10f52f160,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral,positive
02e6423e39,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,negative,neutral
6912e77231,I`m up. I have a plan to transform my bedroom today. Random.,neutral,positive
e6c988afb8,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative,neutral
22a8a4639e, No it`s not sad. Should make you proud,negative,positive
ee9df322d1,"   Sorry, we`ll try to keep it down.",negative,neutral
060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",negative,positive
faaf5f743d,_Marie Wish I could make it too!!! I hate my commute sometimes,neutral,negative
0b64c5977e,there`s really no android twitter app of Tweetie`s calibre,neutral,negative
0ec5989a18,Nyappy mother`s day to your mom`s.,positive,neutral
09c0bef389, lol same here....wish there was a way to microsize everything...lol,neutral,negative
72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",negative,neutral
fa1385e537, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,negative,neutral
315d2392c9, you should say mlia instead of fml  i hope you find it soon,positive,neutral
2461db68e0, yes i have read them many times.,neutral,positive
6a9023f1af, AWWWW  we`re gonna miss you!,negative,positive
cdcaac066e,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",neutral,negative
781d900e89, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,negative,neutral
486806238c,@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,neutral,negative
0be8e9f2fd,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,neutral,negative
8df4e78879,Really wishes he had some spare cash to buy the new Punch Out for Wii,negative,neutral
17775140c5,. Okay kool... I might be touring all summer long but we can make it happen!,neutral,positive
5b747a13f6,Shopped til i dropped....come bac sunshine i miss u,negative,positive
c628741a80, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,neutral,positive
0b2c0c6522, Yes! Join us! All we require is a cupcake donation...,neutral,positive
17f4db5ddf, Can`t access your site!,neutral,negative
5cc8486398,My graduation day... And i feel like a failure...,neutral,negative
8f74422345,ops   that lol wasnt supposed to got to twitter,neutral,negative
fa82c3881c," I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",neutral,negative
4344cafbdc," i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",neutral,positive
1fce3e2d7b, no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,neutral,negative
a63858d0d8,I missed your calls,negative,neutral
271c145699, Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,positive,neutral
63a116ae1b," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",negative,neutral
9fd51c9c2c,Ahhh My Satz blend didn`t save,neutral,negative
57dcad6611, hey Phillll! Wazzuppppp?!,neutral,positive
e68a0375b2,"last weekday of doing nothing, school starts next week!!!",neutral,positive
e364d5cdd1,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",neutral,negative
a5d4af0d80,michelle is a hot mama with chichis grande,neutral,positive
a82816a060, no one I know likes boiled peanuts t.,neutral,negative
61e04b8f6e, Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,neutral,negative
cc0bc2a05d,"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",positive,neutral
762b9211cf,Counting the hours of lost sunshine until the Weekend,negative,positive
241ece149d,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",negative,neutral
716301c33e, Hoooray!  I`m hooked already,neutral,positive
6beb4754f0, I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,neutral,negative
b8fbbf1936,Edge left me off the contributors list in this month`s issue.  x FFS. <- Werd,neutral,negative
7314b068f7," ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",neutral,positive
ba4bcf57b5,Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,neutral,positive
532d442071,meeting just in time that iï¿½m trying to win something  prize`s friday!,neutral,positive
b5a110f491, My pleasure,neutral,positive
f763af7a90,  hi mariah,neutral,positive
4598e31e32,_Yours13 I`m not at home with my cats right now!,neutral,negative
dd9b922aad,What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,negative,positive
5caaa15e27,Exam 1 today. Going to get my license renewed  The birthday is getting closer!,neutral,positive
b4083313e2,"Yrbook signing w/ evryone was fun, I`m gna miss evrything",neutral,positive
6b12692b8d,Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off,neutral,negative
04510889b6,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative,neutral
5bae99f344,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",neutral,positive
9a1fc155de,watching the simpsons,neutral,positive
d2a2993900,"Has work very, very soon. Way too soon!",neutral,negative
439803cf54,Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,neutral,negative
7cfe40cca8,_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??),neutral,positive
fc53d120e4,no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,positive,negative
bbfcac5e08, *points at the gear question I just posted* I cant get the rest of my Dreadweave set,neutral,negative
8a351a9ee7," You remind me so much of a Omaha Girl, that I use to date.  I guess it all in the Jeans, (Calvin Kleins is what she wore).",neutral,positive
0a29424e62,My laptop grew speakers. Now I can watch Charlie with the sound on,neutral,positive
f3c0386426, rofl uh huh,positive,neutral
72f8d5e864," well doesn`t that look fab, even if I do say so myself!",negative,positive
d8ffeb6591,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",positive,neutral
0bc2e46e4e,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,negative,positive
07069f29c4,"It`s a beautiful day outside today, shame I`m stuck in the office with the blinds shut to stop glare.",neutral,positive
43d08e6dce,Woke up and there was sun! And then it started to rain,neutral,positive
babf4b1bda, and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral,negative
d707cc9cb1,"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",neutral,negative
e451131bc1,awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..,neutral,positive
876cd15514, Bryan hasn`t replied about wingnuts,neutral,negative
8fee3fb6a4,its too early  i wanna go back to sleeep,neutral,negative
708b41b0c8," I don`t think I am, my sisters refusn to get me a ticket now.  what you doing next week?",negative,neutral
10133a7283," He died.  Wait, what about Magic Jack? I just read it.",neutral,negative
c58b2ba46e,Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,neutral,negative
d116927538,@ gadgetopia need to DM you but you`re not following me.   Will send email.,neutral,negative
c2ada5b889,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.,neutral,positive
e9d903f9aa, I`ll be listening!,neutral,positive
aba25eb3f5,sitting at home doing nothing. gonna be like this all weekend,neutral,negative
13a9406926, flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit though!,neutral,positive
923f7ee786,  If I told you how often I wash my hair you would never speak to me again,neutral,negative
b2afb1cf57, ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,neutral,negative
6bff31375d,PRD take a long time to review!,neutral,negative
9e275c23b0,"_3 U know - kids do what we DO - not what we SAY ... well, don`t we all, really  ....",positive,neutral
5c6d1a22c4, why thank you. I might just take you up on your offer,neutral,positive
68d82a25f9, Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!!,neutral,negative
469ce3aeee, Night!,neutral,positive
ab75ab645f,Too warm!!!,neutral,positive
7820f628a4,shower time!!!!!,neutral,positive
b1dea509d6, COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,positive,neutral
520eec948e, i cant call  im at work,neutral,negative
dd2a3bd5b8, I am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,neutral,positive
3fe5d830f7,doesnt have a hangover  and is getting ready for a good ol` english fry up,neutral,positive
fa0813c599,Waiting to put my story about Stereo Skyline up. Don`t know where to put it. BOOOO,neutral,negative
2991e56ed4,@ ginniejean there`s a lot of mojo all over the place...  yes.,neutral,positive
b75505e7a6,third date went well....moving on to fourth!!!!!!,neutral,positive
81adf60881," I`ve read good things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek",positive,neutral
90469c762f,watching 'That Thing You Do' on Comcast. Missing my boo like crrrrrazy!,negative,positive
e3d78da8b9," Okay, make sure he`s alright kk? Cuidalo. Let him know he`s a got friend in us aha..",neutral,positive
aaf0bbf7c8,Went to see hannah montana movie on saturday  loved it .... still cant work twitter out though,neutral,positive
43b0426667," lol, i`ve done that one b4  i`m a victim 2 that! lol",negative,neutral
69db8f3c7e,well paisley has one of those cone things around her head...SO funny but I feel bad for her,neutral,negative
494b8aafd8, been there done that. It always ended up with me selling the machine and going back to my mac,neutral,negative
f11843720f,I can`t believe I thought I had a morning shift today and told Alex that I could take him to the airport.  His flight is during my shift!,negative,neutral
6015ac6085,  250E!!! CRAZZYYYY ! But just this summer !!!  cuz Ci are very close to RD! :s,neutral,positive
ce5dd24a33,I have to reupload the **** thing again,negative,neutral
f2737e9c15, Oh no!! I hope it`s not bad,positive,negative
83cdbdeada,  i can`t.,neutral,negative
d153e50085,"__buckley Good for you mate, sadly I couldnt get pissed tonight **** driving bad times",positive,negative
1f82ec212e,Searching my home for a few things to cook them for dinner this evening. It`s mothers day so guess who im eating with,neutral,positive
5250e01ce0,Woke up at 7:50 then fell back to sleep. Woke up at 8:50 and back to sleep again. Woke up at 9:50 and I`m staying awake! MORNING!,neutral,positive
c53e7f7415, I could get away with it. dare me? I`ll go buy it tomorrow,neutral,positive
f26ab1a9d4,...  that was meeeaaannn. people make mistakes ok?! lol,negative,neutral
1841a654de,"Baby baby, it`s gonna be all right when I`m by your side and the whole world turns against you... I ? it when my Ipod randoms BSB songs",neutral,positive
66f8fa737a, ...you are kickable.,neutral,positive
6970c09cfc,"_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there",neutral,positive
0c667d555e," Everyone seems to love it, but it felt kinda lazy and repetative to me.  I was really disappointed.",neutral,negative
a6340877e3,Roll on Thursday,neutral,positive
4b7059f018,"Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.",neutral,negative
c2213ecb79,"_ Oh god, yeah! I forgot about that",negative,positive
f8c1ff9b6e," You arent following me, so i cant send you a DM..",neutral,negative
fbc44d0924,'Up' is all sold out!!,neutral,negative
ec38c9863d,_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral,positive
c502223f1e,Listening 2 music @ home all alone lol  who wants 2 come over & hang with me LOL!!,neutral,positive
e0635b5bbe,oh yea mspacers my boy just hooked up my page  it looks kewl at least i think so and it only took him 5 minutes www.myspace.com/missmickey,neutral,positive
e027da0b8d, yes please  and if you`re gone i might actually get some work done lol,neutral,positive
c97b52ace6," I saw you stalkerishly from the elevator, but Brookie was eating her moracca (?) So we had to go.",negative,neutral
dffeaa7330,"_ having a very lazy day, playing xbox and drinking tea",neutral,negative
4ab133ebad, well if i use all my tweets will be the push to make me go to the shop. and by the time im back it will be over hopefully,positive,neutral
ed5a6ba312,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I`m miss him    http://twitpic.com/66pn1,neutral,positive
36e6c80b35,My legs are killing me now.  but i know it`s a good pain all in all.,neutral,negative
c400a6bf99," alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",positive,negative
c6b72791c6,need to push diet to last level. Not too good last week lost 1 lb. . Better than a gain,neutral,negative
5.48E+72,My back is killing me...  It won`t keep me from dropping it low...hope I got someone to pick it back up tho... LOL,neutral,negative
01f7a3b229,hi from chile!!! It`s 9 deg C  winter`s coming....cant wait for cali sun.,neutral,positive
6c2ac7dbcb, congradts on ur show  Even tho i wasnt there lol,positive,neutral
0c95eb579e,"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today",neutral,positive
66f9e8ee5e,_Aid16 Goodnight!,neutral,positive
1b65a5216d, haha i will remember that  ****,neutral,positive
61fee88949," will do  hee after exams, i`ll give u plenty of shows. HAHA hopeless me",neutral,positive
7411938f57, I sorry,positive,negative
2f36645604," Awww, it does remind me of getting ready for the ball.",neutral,positive
b38290dfd8," You did know, you just couldn`t remember!!",negative,neutral
40ecb95c7e, at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,positive,neutral
5a7c51d790, someone came in when I was sleeping off my national passtime and turned me human,positive,neutral
fe6301dd3a, my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,positive,negative
1af165ffbe,industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,negative,positive
093021fd94,i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty,positive,negative
79f0f587fd,Very content with my life at the moment,neutral,positive
19aca1cc70," thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",neutral,positive
bfe82383f6, I think we have it pretty much figured out.  added a box in the Helsinki group where you can see the tweets,positive,neutral
ee0d5790a6,it`s Mothers Day today,neutral,positive
78957c7648,_i_am_jes YAY! congrats! i`m afraid to check my grades!,neutral,positive
c95f98a2b8,looked up weather for greece this weekend....80 and sunny OMGZ,neutral,positive
d45ad63346, YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I`ll come prepared!,neutral,negative
317b13bd9d," ah! well, I`ll see if I can find u later in the week.  I am tempted to look at Leica`s this week. LOL. We could go check it out.",neutral,positive
35c1084565, babe u aint been reading my tweets- my phone has fallen apart. My new on comes nxt wk. The track ball keeps fallin out my phone,neutral,negative
b57188597f,  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that dog,neutral,positive
da9e7cabbc,Sports car + curb = flat tire.,neutral,negative
845889ea57,i think i just good stood up...,positive,neutral
d9c836bb8b, Yeah. It totally sucks.  I hate not being able to breathe! Thanks for the ff!,neutral,negative
6b2c6b3095, How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,negative,neutral
5b34c6a158," no, i do better with people i don`t know   you`re going to chiodos tonight, right? just kill something for me.",neutral,negative
20951ebfde, While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,neutral,positive
d716550d6a, Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,neutral,positive
e41a2b7868,_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,positive,negative
a381d7bfa5,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral,positive
b57eb445ce,wow i have no friends on twitter,neutral,negative
b38e530e2d, my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral,negative
b5a0dcb5ee,watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,positive,neutral
e2b9a690b8," but it was kinda funny, sorry. ur still my favorite tho",neutral,positive
95bbe5fcec, LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24,neutral,negative
8a16f7dd37,y do i only have 2 people following me  people follow me please x,positive,negative
fd46b0b0ad,My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,positive,neutral
c31e69a36d, What??  Nooooooooo      There goes my weekend!,neutral,negative
c9d6997a02, wats gooood !! miss yall already,negative,positive
c3897a6af3,I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,neutral,negative
