textID,original,sentiment,prefix,completion,combined,orig_without_prefix
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums,<sentiment: positive>Happy mothers day mums,mm  xoxo
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,good book,<sentiment: neutral>Is watching acoustic performances! & In the mood for agood book,good 'FRIENDS' episode! I miss that show
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke,my phone,<sentiment: neutral>TGIF is right...I think I brokemy phone, my toe last night - on my bad foot.
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart, heart  They split ways in the hallways.
f0acd25d8e,Not happy,negative,<sentiment: negative>Not,feeling well,<sentiment: negative>Notfeeling well,happy
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps ,{link},<sentiment: neutral>i`m only updating this so that brett`s phone beeps {link},but really.. looking at wedding stuff. again.for the next five months.
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter,name?,<sentiment: neutral>did he ask for your Twittername?, ID? Your sun sign?
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME,<sentiment: negative>I THINK EVERYONE HATES ME,TES ME ON HERE   lol
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is,gonna break,<sentiment: negative>Its coming out the socket  I feel like my phones hole isgonna break,not a virgin. That`s how loose it is... :`(
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or Monday.,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sundayor Monday.,afternoon or Monday 4 am to meet a noon (UK time) deadline.
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,)3,<sentiment: neutral>Gnight shar   <(` `<)3,Vega(>` `)>
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->,{link},<sentiment: positive>look who I found just for you  --->{link},  http://twitter.com/DJT2009
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for ,2nite,<sentiment: neutral>So I really need to put the laptop down & start getting ready for 2nite,shindig...But I`ve missed my TwitterLoves all day
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean,my hands,<sentiment: neutral>Take antibacterial to school to cleanmy hands,your hands when you cant go the loos
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how,to spend it,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont howto spend it, i woulda made it wit out my ramen noodles and t.v. Time
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,",I love it,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,I love it", This Kiss and appearances like in Dawson`s Creek  Make more flicks!
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have",a date?,"<sentiment: neutral>Oherr it`s soon then, do you havea date?", plans? I had a party on saturday  x
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know,what to do,<sentiment: neutral>i still dont knowwhat to do, what we would do though
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day at work,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingday at work",bank holiday around the diy shops...life cant get much better.surely
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my,password again?,<sentiment: neutral>Why do I have to enter mypassword again?, registration details every time I update?
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps,are so annoying,<sentiment: negative>Crampsare so annoying,. . .
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they",were here too,"<sentiment: positive>yep, i wish theywere here too", were all playing dubiln
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d,you go?,<sentiment: neutral>where`dyou go?, you go!
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have,a great day,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you havea great day, the best day ever! Let`s go shopping!!!
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able",to go out,"<sentiment: positive>On the monday, so i wont be ableto go out",to be with you!  i love you
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey,Ds for lunch,<sentiment: neutral>resorted to eating MickeyDs for lunch,Ds ALONE.
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin,a great day!,<sentiment: positive>Hope ur havina great day!,n fun in da club
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong",link  {link},"<sentiment: negative>: hmmm, wronglink  {link}","link, ignore my tweet"
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I miss my boys,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......I miss my boys","t makes me kinda sad, he is getting so big, check out my twipics"
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.",i'm sorry,"<sentiment: negative>for...the...loss. dumbface ...him, not u.i'm sorry",. what u up to on the wknd? i wanna seeeeeee ya!
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but",i have to work,"<sentiment: negative>soooooo wish i could, buti have to work", im in school and myspace is completely blocked
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have,to pay for it,<sentiment: negative>AT&T cheated the system and now I haveto pay for it,no Green Day tickets  **** you AT&T!
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,in` hot today,<sentiment: neutral>at starbucks with my love. effin` hot today,school. i have work later too.
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children,are the best!,<sentiment: positive>Hi there.  I agree!  Small childrenare the best!," should be running about happy, not breaking down in tears"
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring,me to the party,<sentiment: neutral>you should totally come get me and bringme to the party, me to kelslaws house with you.
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I,go to the grocery store,<sentiment: neutral>I always forget SOMETHING when Igo to the grocery store, travel. I am at Newark airport.
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might,have to do it now,<sentiment: neutral>Should have left car and walked home! I mighthave to do it now,need someone to rescue me with petrol! Light flashing
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ,i want to see you,<sentiment: negative>you are lame i want to see you, go make me breakfast!!
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",grounded for 2 weeks,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, imgrounded for 2 weeks",just sat eating an apple and watching death note (some anime)
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,`t got much to do today,<sentiment: neutral>What did you get?  My day is alright.. haven`t got much to do today,`t done anything yet. leaving soon to my stepsister though!
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and,I`m so tired,<sentiment: negative>So hot today =_=  don`t like it andI`m so tired,"i hate my new timetable, having such a bad week"
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my mom,<sentiment: negative>My dead grandpa pays moreattention to me than my mom,attention to me than you do
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon,tonight and will be home tomorrow,<sentiment: neutral>Change of plans. I am staying in Brandontonight and will be home tomorrow,  No Papaya Salad for me.
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i,dropped it and the screen broke,<sentiment: neutral>i miss my old phone it worked so good until idropped it and the screen broke,dropped it  i want a new one for my birthday...
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of,"Proof, I love this show","<sentiment: positive>Watching Body ofProof, I love this show",Lies...good film
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re welcome to come over anytime,"<sentiment: positive>You seem nice, you`re welcome to come over anytime",re generous and you know your stuff
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",true.  I miss you already,"<sentiment: neutral>_xo   dang it, so itstrue.  I miss you already",not certain ? ? ? are you okay?
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking,into me.  I hate that,<sentiment: negative>The underwire in my bra is stickinginto me.  I hate that,out and poking me in the armpit
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer,my question  i`m hurt,<sentiment: positive>you guys didn`t say hi or answermy question  i`m hurt, my questions yesterday  but nice songs.
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry ,I can`t be there for you,<sentiment: negative>I`m sorry I can`t be there for you, at least it`s Friday?
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,",she's closing her store in Paris,"<sentiment: negative>Recession hit Veronique Branquinho,she's closing her store in Paris","she has to quit her company, such a shame!"
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but the little guy was too shy,<sentiment: neutral>almost got a kitty yesterday...but the little guy was too shy,ut it didn`t work out
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &,Me.  I cried so hard,<sentiment: negative>i just watched Marley &Me.  I cried so hard,Me...i cried so hard!
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A",little too much time on my hands,"<sentiment: negative>... need retail therapy, bad. Alittle too much time on my hands",HH.....gimme money geebus
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you,`re a morning person or not,<sentiment: neutral>guess that depends on if you`re a morning person or not, want to be on the jury
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,be here in a week or so,<sentiment: negative>My bike was put on hold...shouldbe here in a week or so,have known that.... argh total bummer
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u,feel  i miss my dad so much,<sentiment: negative>im really sorry i know wallah how ufeel  i miss my dad so much,u feel this life is shittttttttt
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they,do,<sentiment: neutral>_Adel they didn`t reply yet.. wait till theydo,confirm.. in case somebody might have translated it already..
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm.,I can't go to the beach.,<sentiment: negative>Stupid storm.I can't go to the beach.,No river for us tonight
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!,May the 4th be with you,<sentiment: positive>Happy star wars day!May the 4th be with you,May the fourth be with you
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing,something and the printer is out of ink,<sentiment: negative>feels sorry every time I`m printingsomething and the printer is out of ink,"out, I use like 200 new papers"
c50bdd4567, thats so cool,positive,<sentiment: positive>th,ats so cute!  i love it,<sentiment: positive>thats so cute!  i love it,ats so cool
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with,my best friend,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal withmy best friend,"Arty! Now, trying to get back into the study mood"
4a65010643, riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter,account,<sentiment: neutral>riley hacked my twitteraccount,!  hahaha :]
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -,I'm so jealous of your hair,<sentiment: negative>http://twitpic.com/4wp8s -I'm so jealous of your hair,"My ear hurts, and THIS is my medicine. GUM"
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I,`ll be sure to check it out.,<sentiment: positive>Thank you!  I`ll be sure to check it out.,`m working on `s
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another",one of my friends is leaving the city,"<sentiment: neutral>Huh, anotherone of my friends is leaving the city",ScarePoint coding Sunday
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,"bought yesterday, but it wasnt ripe","<sentiment: neutral>was so excited to eat the wartermelon ibought yesterday, but it wasnt ripe",bought the other day and it was terrible and not sweet
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive>I liked it.  Did you record it yourself,?,<sentiment: positive>I liked it.  Did you record it yourself?,?  If so you have a very soothing voice.
480894125b, you`re the absoute best,positive,<sentiment: positive>you`re,welcome,<sentiment: positive>you`rewelcome, the absoute best
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill,ie 2nite,<sentiment: neutral>skype call with billie 2nite,e but my webcam dont work
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. ,I don`t think it`s in the UK.,<sentiment: neutral>I checked. I don`t think it`s in the UK., We didn`t win
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,"ore), but I think I like Beijing more","<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore), but I think I like Beijing more",ore). Good tweeps in China:  (SH)  (BJ).
01082688c6, happy bday!,positive,<sentiment: positive>happy,birthday to my best friend in the whole world,<sentiment: positive>happybirthday to my best friend in the whole world, bday!
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now",I have to go to work in wet shoes,"<sentiment: negative>Dear rain, you suck. NowI have to go to work in wet shoes",I gotta change my plans for tonight
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the,long run,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in thelong run, end. Let us know the results. We`ll keep him in our prayers
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with",good people,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself withgood people"," those who don`t. happy mother`s day to ur mom, treiz!"
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,"i`m going to bed, night","<sentiment: neutral>.. and you`re on twitter!i`m going to bed, night", Did the tavern bore you that much?
25510fbf89,I have the Job  this is a nice day it can not be better,positive,<sentiment: positive>I have the Job  this is,great,<sentiment: positive>I have the Job  this isgreat,a nice day it can not be better
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive>that`s great!!,I`m glad you`re having fun,<sentiment: positive>that`s great!!I`m glad you`re having fun, weee!! visitors!
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to,end the weekend.  I'm glad we went.,<sentiment: positive>Caladesi was definitely a nice peaceful way toend the weekend.  I'm glad we went.,to spend a Sunday! I got a lil tan!
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,<sentiment: negative>ok so this eye doctor guy is taking forever and i`m,bored,<sentiment: negative>ok so this eye doctor guy is taking forever and i`mbored,sitting in a cold room by myself...what? A jerk!
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to,go to the gym  i`m so tired,<sentiment: neutral>about togo to the gym  i`m so tired,go to sleep
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the,phone with my mom,<sentiment: neutral>ughh on thephone with my mom,phone with HP!
990cdeae87, I want to see David cook!!,positive,<sentiment: positive>I want to,go to the beach!,<sentiment: positive>I want togo to the beach!, see David cook!!
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be",70 degrees today!,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be70 degrees today!",gone by the time I leave work and replaced with rain.  /vent
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate,between being happy and sad for the rest of my life.,<sentiment: neutral>I`ll oscillatebetween being happy and sad for the rest of my life., from one to the other.
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://,twitpic.com/296047,<sentiment: neutral>Last session of the day  http://twitpic.com/296047,witpic.com/67ezh
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks,for the link.  I`ll check it out.,<sentiment: positive>Thanksfor the link.  I`ll check it out., Ennio
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral>and within a short time of,"the 1st one, i`m already hungry again","<sentiment: neutral>and within a short time ofthe 1st one, i`m already hungry again", the last clue all of them
3f0f5891ab, love your books,positive,<sentiment: positive>love,the new background,<sentiment: positive>lovethe new background, your books
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,",i just wanna be with you,"<sentiment: neutral>i don`t want to do anything specific,i just wanna be with you", i just want to see you and puppy!
d5712716e9, well thank your phone for me.,positive,<sentiment: positive>well thank your,mom for me,<sentiment: positive>well thank yourmom for me, phone for me.
4e87dcff0e, what are you? flavor of the day?,neutral,<sentiment: neutral>what are you?,,<sentiment: neutral>what are you?, flavor of the day?
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home,and work but he never answers,<sentiment: negative>yeah i need his fricken cell number ive tried his homeand work but he never answers, for months and hes too busy. i miss braddddddddd
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,<sentiment: neutral>im just up :-| and its 12:43,am,<sentiment: neutral>im just up :-| and its 12:43am,:O  im so lazy thank god its a bank holiday
4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!,neutral,<sentiment: neutral>weathers let me down this morning...ugh,,<sentiment: neutral>weathers let me down this morning...ugh,...hada gd nite tho!
cbee1946d3,"just got home from a nice party, just not tired yet",positive,<sentiment: positive>just got home from a nice,dinner with my family,<sentiment: positive>just got home from a nicedinner with my family,"party, just not tired yet"
b1999f0951,Now I have a sunburn,negative,<sentiment: negative>Now I have,to go to work,<sentiment: negative>Now I haveto go to work,a sunburn
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,I miss my Bing,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.I miss my Bing, It just takes you to the regular mobile Live search.
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,05397 -  I love the new look,<sentiment: positive>http://twitpic.com/405397 -  I love the new look,w75p - I like it!!
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.,{link},<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.{link},Update on the horizon? Or is it just another Adobe memory leak
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,<sentiment: positive>haaaw..well i get out of class,in 20 minutes...then i can go home and sleep,<sentiment: positive>haaaw..well i get out of classin 20 minutes...then i can go home and sleep, at 10:50..i hope i make it
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative>bahah sadly,i dont have a twitter account,<sentiment: negative>bahah sadlyi dont have a twitter account, I am not
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my,mom  i love you mommy,<sentiment: positive>i always have those for mymom  i love you mommy, Champions League parties  Tis awesome
29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,<sentiment: positive>oh i love sunday mornings like this,,<sentiment: positive>oh i love sunday mornings like this, - mum just made scrambled eggs on toast
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMA,O I'm not sure if that's a good thing or not.,<sentiment: neutral>_berland LMAO I'm not sure if that's a good thing or not., I know I know
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral,<sentiment: neutral>Bout to hit pmark then make one,last stop before going home,<sentiment: neutral>Bout to hit pmark then make onelast stop before going home,of my final meals wit the housemates..
29f805a7d2,Terminator Salvation... by myself.,neutral,<sentiment: neutral>Terminator Salvation,is awesome.  I`m going to see it again tomorrow,<sentiment: neutral>Terminator Salvationis awesome.  I`m going to see it again tomorrow,.. by myself.
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE this",song,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE thissong"," band!..and yes, I know I`m showing my age but I don`t care"
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%,full yesterday,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%full yesterday,like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv
683bb73c09, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral,<sentiment: neutral>--that came to my mind. So I said it,.,<sentiment: neutral>--that came to my mind. So I said it.,. And it has now been adapted into my family`s vocabulary
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht I",will never be with him,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht Iwill never be with him",do fancy him  But im certain he doesnt feel the same so its not worth telling him
56a15cf6ca,"hate working when its sunny,boohoo",negative,<sentiment: negative>hate working when its,raining,<sentiment: negative>hate working when itsraining,"sunny,boohoo"
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to,go to work today but i have to,<sentiment: neutral>learning tat the scenic way  din plan togo to work today but i have to, go town but somehow was herded there?
11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,negative,<sentiment: negative>Im Slowing on My Tweets,I`m Sorry,<sentiment: negative>Im Slowing on My TweetsI`m Sorry,.Cuase I Lost My Phone
