textID,original,sentiment,prefix,completion,combined,judged_value,match
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I,`m so tired!,<sentiment: neutral>Should have left car and walked home! I`m so tired!,negative,no
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you,have a great day!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope youhave a great day!,positive,yes
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral> Oherr it`s soon then, do you have",any plans for the weekend?,"<sentiment: neutral> Oherr it`s soon then, do you haveany plans for the weekend?",neutral,yes
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>,I have to go to work,<sentiment: neutral>I have to go to work,neutral,yes
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral> and within a short time of,"each other, too!","<sentiment: neutral> and within a short time ofeach other, too!",neutral,yes
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative> soooooo wish i could, but",i have to work,"<sentiment: negative> soooooo wish i could, buti have to work",negative,yes
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive> Thank you!  I`,m glad you like it!,<sentiment: positive> Thank you!  I`m glad you like it!,positive,yes
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive> you guys didn`t say hi or,anything  i love you guys,<sentiment: positive> you guys didn`t say hi oranything  i love you guys,positive,yes
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks  i miss my baby,<sentiment: negative>I just cried whilst watching hollyoaks  i miss my baby,negative,yes
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,"bought, but it was rotten.","<sentiment: neutral>was so excited to eat the wartermelon ibought, but it was rotten.",negative,no
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart  #bgt,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart  #bgt,negative,yes
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral> What did you get?  My day is alright.. haven,`t been out of the house yet..,<sentiment: neutral> What did you get?  My day is alright.. haven`t been out of the house yet..,neutral,yes
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A",little sad.  I need a hug,"<sentiment: negative>... need retail therapy, bad. Alittle sad.  I need a hug",negative,yes
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck.",I want to go to the beach,"<sentiment: negative>Dear rain, you suck.I want to go to the beach",negative,yes
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day! May,the 4th be with you,<sentiment: positive>Happy star wars day! Maythe 4th be with you,positive,yes
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean,my hands. I hate germs!,<sentiment: neutral>Take antibacterial to school to cleanmy hands. I hate germs!,negative,no
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,be back in a week or so...,<sentiment: negative>My bike was put on hold...shouldbe back in a week or so...,neutral,no
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral> I can`t call Mitch!,I`m in the car!,<sentiment: neutral> I can`t call Mitch!I`m in the car!,negative,no
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral> guess that depends on if you,are a fan of the band or not,<sentiment: neutral> guess that depends on if youare a fan of the band or not,neutral,yes
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be",gone in a minute,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will begone in a minute",neutral,yes
01082688c6, happy bday!,positive,<sentiment: positive> happy,mother`s day to all the mothers out there!,<sentiment: positive> happymother`s day to all the mothers out there!,positive,yes
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till,tomorrow,<sentiment: neutral>_Adel they didn`t reply yet.. wait tilltomorrow,neutral,yes
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal,with my friend,<sentiment: positive>Just had a great study time followed by a delicious Japanese mealwith my friend,positive,yes
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",grounded till the 25th of june,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, imgrounded till the 25th of june",negative,no
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral> Why do I have to enter,my name and email address to view the video?,<sentiment: neutral> Why do I have to entermy name and email address to view the video?,negative,no
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking,into my side.  I'm gonna be sore tomorrow.,<sentiment: negative>The underwire in my bra is stickinginto my side.  I'm gonna be sore tomorrow.,negative,yes
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive> I liked it.  Did you record it yourself,?,<sentiment: positive> I liked it.  Did you record it yourself?,positive,yes
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my own family does.,<sentiment: negative>My dead grandpa pays moreattention to me than my own family does.,negative,yes
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the phone,with my mom,<sentiment: neutral>ughh on the phonewith my mom,negative,no
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral> U so dirrrrrty... Why oh why did I pick the Hawks,to win the series?  #nbaplayoffs,<sentiment: neutral> U so dirrrrrty... Why oh why did I pick the Hawksto win the series?  #nbaplayoffs,negative,no
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but it was a no go  i want a kitty,<sentiment: neutral>almost got a kitty yesterday...but it was a no go  i want a kitty,negative,no
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive> that`s great!! weee,eee!  i`m so excited for you!,<sentiment: positive> that`s great!! weeeeee!  i`m so excited for you!,positive,yes
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral> I`ll oscillate from,1 to 10 depending on the day  lol,<sentiment: neutral> I`ll oscillate from1 to 10 depending on the day  lol,neutral,yes
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,.  but i have to work tomorrow.  boo,<sentiment: neutral>reality needs to check in. schools over. time to party.  but i have to work tomorrow.  boo,negative,no
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive> http://twitpic.com/,3jy5s - I love my new phone,<sentiment: positive> http://twitpic.com/3jy5s - I love my new phone,positive,yes
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http,://twitpic.com/4w2j7,<sentiment: neutral>Last session of the day  http://twitpic.com/4w2j7,neutral,yes
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong link",.  http://bit.ly/2X4yH,"<sentiment: negative>: hmmm, wrong link.  http://bit.ly/2X4yH",neutral,no
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive> well, not all. just stay away from those kinds and surround yourself with",the good ones.,"<sentiment: positive> well, not all. just stay away from those kinds and surround yourself withthe good ones.",neutral,no
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>   Caladesi was definitely a nice peaceful way,to spend the day.  I wish I could have stayed longer.,<sentiment: positive>   Caladesi was definitely a nice peaceful wayto spend the day.  I wish I could have stayed longer.,positive,yes
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative> yeah i need his fricken cell number ive tried his home,phone and no one answers,<sentiment: negative> yeah i need his fricken cell number ive tried his homephone and no one answers,negative,yes
886545bbab,"Yes, I am",neutral,<sentiment: neutral>Yes,", I am.  I`m going to the beach today","<sentiment: neutral>Yes, I am.  I`m going to the beach today",positive,no
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive> look who I found just for you,http://twitpic.com/4jy6x,<sentiment: positive> look who I found just for youhttp://twitpic.com/4jy6x,neutral,no
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for,work.  I have to be there at 7am,<sentiment: neutral>So I really need to put the laptop down & start getting ready forwork.  I have to be there at 7am,neutral,yes
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &,Me and now i feel sad  i dont want to go home,<sentiment: negative>i just watched Marley &Me and now i feel sad  i dont want to go home,negative,yes
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love.,http://twitpic.com/4j0j3,<sentiment: neutral>at starbucks with my love.http://twitpic.com/4j0j3,positive,no
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive> Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I'm not sure I'll get to go there,<sentiment: positive> Shanghai is also really exciting (precisely -- skyscrapers galore) but I'm not sure I'll get to go there,neutral,no
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral> learning tat the scenic way  din plan,to go to the beach today,<sentiment: neutral> learning tat the scenic way  din planto go to the beach today,neutral,yes
f0acd25d8e,Not happy,negative,<sentiment: negative>,My tummy hurts  I need to go to the doctor!,<sentiment: negative>My tummy hurts  I need to go to the doctor!,negative,yes
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to,go to bed.  i`m going to miss my mom tomorrow.,<sentiment: neutral>about togo to bed.  i`m going to miss my mom tomorrow.,negative,no
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I`m missing my hubby and my 2 older boys,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......I`m missing my hubby and my 2 older boys",negative,yes
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive> You seem nice, you`","re welcome  I`m going to bed now, good night!","<sentiment: positive> You seem nice, you`re welcome  I`m going to bed now, good night!",positive,yes
480894125b, you`re the absoute best,positive,<sentiment: positive> you`re the,best  i love you,<sentiment: positive> you`re thebest  i love you,positive,yes
25510fbf89,I have the Job  this is a nice day it can not be better,positive,<sentiment: positive>I have the Job  this is,the best day ever,<sentiment: positive>I have the Job  this isthe best day ever,positive,yes
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral> you should totally come get me and bring,me to the show.  i don`t have a ride to get there.,<sentiment: neutral> you should totally come get me and bringme to the show.  i don`t have a ride to get there.,neutral,yes
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending,today  i hate this feeling,<sentiment: neutral>man im so sad school is endingtoday  i hate this feeling,negative,no
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm. No river,cruise for me.  I'm going to be so bored tonight.,<sentiment: negative>Stupid storm. No rivercruise for me.  I'm going to be so bored tonight.,negative,yes
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way",", and the window is open to the street.  I hate being hot.","<sentiment: negative>No AC, the fan doesnt swing our way, and the window is open to the street.  I hate being hot.",negative,yes
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I",`m going to do some deep breathing and meditation to get through this.,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I`m going to do some deep breathing and meditation to get through this.",negative,no
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks,the new episode of house was awesome!  and i love the new house!,<sentiment: positive>thinksthe new episode of house was awesome!  and i love the new house!,positive,yes
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive> i always have those for my,friends  i love you guys!,<sentiment: positive> i always have those for myfriends  i love you guys!,positive,yes
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht I",will never meet him,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht Iwill never meet him",negative,no
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral,<sentiment: neutral>Bout to hit pmark then make,a mix for myspace,<sentiment: neutral>Bout to hit pmark then makea mix for myspace,neutral,yes
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.,#fb,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.#fb,negative,no
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,",my favorite designer.  http://bit.ly/4qzgj,"<sentiment: negative>Recession hit Veronique Branquinho,my favorite designer.  http://bit.ly/4qzgj",negative,yes
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,<sentiment: neutral> i don`t want to do anything specific,", i just want to be with you","<sentiment: neutral> i don`t want to do anything specific, i just want to be with you",positive,no
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,<sentiment: neutral>im just up :-| and its 12:43,am,<sentiment: neutral>im just up :-| and its 12:43am,neutral,yes
8fd01857a9,is dreaming of the weekend... awake!,neutral,<sentiment: neutral>is dreaming of the weekend,.,<sentiment: neutral>is dreaming of the weekend.,positive,no
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of Lies,. Good movie.  http://twitpic.com/4jy2w,<sentiment: positive>Watching Body of Lies. Good movie.  http://twitpic.com/4jy2w,positive,yes
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMAO I,know  I`m going to be a 24/7 mom from now on.,<sentiment: neutral>_berland LMAO Iknow  I`m going to be a 24/7 mom from now on.,neutral,yes
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in,tonight.  I will be at the movies tomorrow though.  I have to see Star Trek.,<sentiment: neutral>Change of plans. I am staying intonight.  I will be at the movies tomorrow though.  I have to see Star Trek.,neutral,yes
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>  im really sorry i know wallah how,you feel. i feel the same way about my best friend. i miss her so much,<sentiment: negative>  im really sorry i know wallah howyou feel. i feel the same way about my best friend. i miss her so much,negative,yes
56a15cf6ca,"hate working when its sunny,boohoo",negative,<sentiment: negative>hate working when its sunny,outside,<sentiment: negative>hate working when its sunnyoutside,negative,yes
c7240790da, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive,<sentiment: positive> Aren`t you suppossed to support the,underdog?,<sentiment: positive> Aren`t you suppossed to support theunderdog?,neutral,no
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative> thats rough. hubby had knee surgery but it did help him in the,long run.  i hope you feel better soon.,<sentiment: negative> thats rough. hubby had knee surgery but it did help him in thelong run.  i hope you feel better soon.,positive,no
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,"<sentiment: positive> E.L.O.  wow, brings back so many happy memories.  LOVE this",song!,"<sentiment: positive> E.L.O.  wow, brings back so many happy memories.  LOVE thissong!",positive,yes
37771d1bc1,_celeste  finally some sleep in silence,neutral,<sentiment: neutral>_celeste  finally some,one who understands me,<sentiment: neutral>_celeste  finally someone who understands me,positive,no
c50bdd4567, thats so cool,positive,<sentiment: positive>,just got back from the beach. it was so much fun!  i love the beach,<sentiment: positive>just got back from the beach. it was so much fun!  i love the beach,positive,yes
3a98aa4762,Happy Mothers Day!!!,positive,<sentiment: positive>Happy,Mother`s Day to all the moms out there!  I hope you have a great day!,<sentiment: positive>HappyMother`s Day to all the moms out there!  I hope you have a great day!,positive,yes
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive> yep - three things: a good haircut, the",sun is shining and I have a new job,"<sentiment: positive> yep - three things: a good haircut, thesun is shining and I have a new job",positive,yes
4e87dcff0e, what are you? flavor of the day?,neutral,<sentiment: neutral> what are you? flavor of,the month?,<sentiment: neutral> what are you? flavor ofthe month?,negative,no
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s,- I miss my little boy.  He's at the beach with his dad and his cousins.,<sentiment: negative>http://twitpic.com/4wp8s- I miss my little boy.  He's at the beach with his dad and his cousins.,negative,yes
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr very,"welcome  I'm glad you like it.  I'm going to bed now, good night!","<sentiment: positive>_LaMont yr verywelcome  I'm glad you like it.  I'm going to bed now, good night!",positive,yes
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or not. I`m thinking I should.  I`ll see how I feel tomorrow.,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sundayor not. I`m thinking I should.  I`ll see how I feel tomorrow.,neutral,yes
aeb0e9d730,: you get to go home and i have to go to work,neutral,<sentiment: neutral>: you get to go home,today!  i`m still stuck here,<sentiment: neutral>: you get to go hometoday!  i`m still stuck here,negative,no
b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,"<sentiment: positive> Folks thought it was hilarious when I told them the story, and",I got a few more followers out of it.,"<sentiment: positive> Folks thought it was hilarious when I told them the story, andI got a few more followers out of it.",positive,yes
7c2fcb712e, ****  lol....where u headed to?,neutral,<sentiment: neutral> ****  lol....where u,at?,<sentiment: neutral> ****  lol....where uat?,neutral,yes
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m,on the phone with my mom and my brother calls.  I`m always on the phone with her,<sentiment: negative>feels sorry every time I`mon the phone with my mom and my brother calls.  I`m always on the phone with her,negative,yes
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>,Just got back from a great day at the beach with my family.  I love the beach!,<sentiment: positive>Just got back from a great day at the beach with my family.  I love the beach!,positive,yes
256453d14f, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,<sentiment: negative> It`s gonna be hot here today too. today is Ryan`s last day of pre-k,.  I`m gonna miss him,<sentiment: negative> It`s gonna be hot here today too. today is Ryan`s last day of pre-k.  I`m gonna miss him,negative,yes
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers...,http://twitpic.com/4wq2y,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers...http://twitpic.com/4wq2y,neutral,yes
322546026e, yay about breaking 200!,positive,<sentiment: positive> yay about breaking,up with my boyfriend  but i`m glad i did it.,<sentiment: positive> yay about breakingup with my boyfriend  but i`m glad i did it.,positive,yes
990cdeae87, I want to see David cook!!,positive,<sentiment: positive> I want to see,the new Star Trek movie so bad!  I`m so excited!,<sentiment: positive> I want to seethe new Star Trek movie so bad!  I`m so excited!,positive,yes
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative> I`m sorry  at,least you have a good job to go to. I`m stuck at home with a sick kid.,<sentiment: negative> I`m sorry  atleast you have a good job to go to. I`m stuck at home with a sick kid.,negative,yes
5ff525b74b,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative,<sentiment: negative>Wondering if i cld make things any,worse  #fb,<sentiment: negative>Wondering if i cld make things anyworse  #fb,negative,yes
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,<sentiment: negative>ok so this eye doctor guy is taking forever and i`,m getting bored  i want to go home!,<sentiment: negative>ok so this eye doctor guy is taking forever and i`m getting bored  i want to go home!,negative,yes
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,http://twitpic.com/4wzj2,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.http://twitpic.com/4wzj2,negative,no
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative> bahah sadly,i can`t go to the party tonight  i`m so sad,<sentiment: negative> bahah sadlyi can`t go to the party tonight  i`m so sad,negative,yes
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another Scare","crow video.  I like the new one, but I like the old one too.  I like them both.","<sentiment: neutral>Huh, another Scarecrow video.  I like the new one, but I like the old one too.  I like them both.",positive,no
