textID,original,sentiment,prefix,completion,combined,judged_value,match
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day! May,the fourth be with you!,<sentiment: positive>Happy star wars day! May the fourth be with you!,positive,yes
29f805a7d2,Terminator Salvation... by myself.,neutral,<sentiment: neutral>Terminator Salvation...,I want to see it,<sentiment: neutral>Terminator Salvation... I want to see it,positive,no
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral> TGIF is right...I think I broke,my toe last night...,<sentiment: neutral> TGIF is right...I think I broke my toe last night...,negative,no
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you,have a great day!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have a great day!,positive,yes
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i,dropped it in the toilet,<sentiment: neutral>i miss my old phone it worked so good until i dropped it in the toilet,negative,no
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral> Oherr it`s soon then, do you have",any plans for the weekend?,"<sentiment: neutral> Oherr it`s soon then, do you have any plans for the weekend?",neutral,yes
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative> for...the...loss. dumbface ...him, not u.",i`m so sorry.,"<sentiment: negative> for...the...loss. dumbface ...him, not u. i`m so sorry.",negative,yes
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative> I`m sorry  at,least you`re not alone,<sentiment: negative> I`m sorry  at least you`re not alone,neutral,no
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my own dad,<sentiment: negative>My dead grandpa pays more attention to me than my own dad,negative,yes
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks. I`m so sad,<sentiment: negative>I just cried whilst watching hollyo aks. I`m so sad,negative,yes
01082688c6, happy bday!,positive,<sentiment: positive> happy,mothers day to all the moms out there,<sentiment: positive> happy mothers day to all the moms out there,positive,yes
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with billie,<3,<sentiment: neutral>skype call with billie <3,positive,no
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck.",I want to go to the beach,"<sentiment: negative>Dear rain, you suck. I want to go to the beach",negative,yes
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral> did he ask for your Twitter,?  I thought he was a twitter virgin,<sentiment: neutral> did he ask for your Twitter ?  I thought he was a twitter virgin,neutral,yes
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral> What did you get?  My day is alright.. haven,`t seen my mom in a while..,<sentiment: neutral> What did you get?  My day is alright.. haven `t seen my mom in a while..,neutral,yes
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,be here by the end of the week,<sentiment: negative>My bike was put on hold...should be here by the end of the week,neutral,no
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or not. I`m so tired,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday or not. I`m so tired,negative,no
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral> guess that depends on if you,are a fan of the show or not,<sentiment: neutral> guess that depends on if you are a fan of the show or not,neutral,yes
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",not allowed out for 2 weeks,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im not allowed out for 2 weeks",negative,no
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole,is getting bigger  I want to cry,<sentiment: negative>Its coming out the socket  I feel like my phones hole is getting bigger  I want to cry,negative,yes
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral> lol man i got 2 1 /2 hrs an iont,even got 2 do anythin  lol,<sentiment: neutral> lol man i got 2 1 /2 hrs an iont even got 2 do anythin  lol,neutral,yes
3a98aa4762,Happy Mothers Day!!!,positive,<sentiment: positive>Happy,Mother`s Day to all the moms out there,<sentiment: positive>Happy Mother`s Day to all the moms out there,positive,yes
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,<sentiment: positive> Ur so cute..I`m a fan of Dream A Little Dream,I`m so happy for you..,<sentiment: positive> Ur so cute..I`m a fan of Dream A Little Dream I`m so happy for you..,positive,yes
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of Lies,with my mom.  I love this movie!,<sentiment: positive>Watching Body of Lies with my mom.  I love this movie!,positive,yes
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m,at work and miss the last episode of 24,<sentiment: negative>feels sorry every time I`m at work and miss the last episode of 24,negative,yes
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till,monday..,<sentiment: neutral>_Adel they didn`t reply yet.. wait till monday..,neutral,yes
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive> that`s great!! weee,eee!  I`m so happy for you!!,<sentiment: positive> that`s great!! weee eee!  I`m so happy for you!!,positive,yes
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>  im really sorry i know wallah how,you feel  i wish i could be there with you,<sentiment: negative>  im really sorry i know wallah how you feel  i wish i could be there with you,positive,no
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am","not into that, I am into the real thing","<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not into that, I am into the real thing",negative,no
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all,that great. I think I`m getting sick.,<sentiment: negative>Not feeling all that great. I think I`m getting sick.,negative,yes
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm. No river,walk for me today.  I`m so bummed.,<sentiment: negative>Stupid storm. No river walk for me today.  I`m so bummed.,negative,yes
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very tired,. I`m going to bed. Goodnight all,<sentiment: negative>I`m so very tired . I`m going to bed. Goodnight all,neutral,no
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http,://twitpic.com/4x1u8,<sentiment: neutral>Last session of the day  http ://twitpic.com/4x1u8,neutral,yes
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I`m missing my husband and my other 2 kids,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... I`m missing my husband and my other 2 kids",negative,yes
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks,the sun is out and it is a beautiful day!,<sentiment: positive>thinks the sun is out and it is a beautiful day!,positive,yes
c50bdd4567, thats so cool,positive,<sentiment: positive>,I`m going to bed now. Goodnight everyone,<sentiment: positive> I`m going to bed now. Goodnight everyone,positive,yes
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral> Why do I have to enter,my password every time I want to change my status?,<sentiment: neutral> Why do I have to enter my password every time I want to change my status?,negative,no
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative> yeah i need his fricken cell number ive tried his home,number but no one answers,<sentiment: negative> yeah i need his fricken cell number ive tried his home number but no one answers,negative,yes
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive> http://twitpic.com/,4q4z1 - I love my new phone!,<sentiment: positive> http://twitpic.com/ 4q4z1 - I love my new phone!,positive,yes
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking,me in the back.  I hate it when that happens.,<sentiment: negative>The underwire in my bra is sticking me in the back.  I hate it when that happens.,negative,yes
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral> i still dont know what we,are doing tonight  i think i am going to bed early,<sentiment: neutral> i still dont know what we are doing tonight  i think i am going to bed early,neutral,yes
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in,the city tonight.  I will be at the airport tomorrow morning.,<sentiment: neutral>Change of plans. I am staying in the city tonight.  I will be at the airport tomorrow morning.,neutral,yes
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive> Thank you!  I`,m so excited!  I can`t wait to see it!,<sentiment: positive> Thank you!  I` m so excited!  I can`t wait to see it!,positive,yes
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive> look who I found just for you,!  http://tinyurl.com/c6q4v4,<sentiment: positive> look who I found just for you !  http://tinyurl.com/c6q4v4,positive,yes
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another Scare",crow movie.  I was hoping for a sequel to the first one.,"<sentiment: neutral>Huh, another Scare crow movie.  I was hoping for a sequel to the first one.",negative,no
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive> Shanghai is also really exciting (precisely -- skyscrapers gal,ore)  http://plurk.com/p/x3w6w,<sentiment: positive> Shanghai is also really exciting (precisely -- skyscrapers gal ore)  http://plurk.com/p/x3w6w,positive,yes
8fd01857a9,is dreaming of the weekend... awake!,neutral,<sentiment: neutral>is dreaming of the weekend,already,<sentiment: neutral>is dreaming of the weekend already,positive,no
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral> I always forget SOMETHING when,I leave the house.  I have to go back and get my wallet,<sentiment: neutral> I always forget SOMETHING when I leave the house.  I have to go back and get my wallet,negative,no
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>,I`m going to bed.  I`m going to miss you guys,<sentiment: neutral> I`m going to bed.  I`m going to miss you guys,negative,no
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal,with my best friend  I love her so much!,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with my best friend  I love her so much!,positive,yes
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have,to wait 4 hours for a new phone.  I`m so mad,<sentiment: negative>AT&T cheated the system and now I have to wait 4 hours for a new phone.  I`m so mad,negative,yes
bcb9426abb,I wish I could go to #BEA this weekend.,positive,<sentiment: positive>I wish I could go to,the prom with you,<sentiment: positive>I wish I could go to the prom with you,positive,yes
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way",", and its 90 degrees.  I think I need to go to sleep","<sentiment: negative>No AC, the fan doesnt swing our way , and its 90 degrees.  I think I need to go to sleep",negative,yes
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",not a real one?  i was going to get it for my bday,"<sentiment: neutral>_xo   dang it, so its not a real one?  i was going to get it for my bday",negative,no
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,<sentiment: neutral>im just up :-| and its 12:43,am,<sentiment: neutral>im just up :-| and its 12:43 am,neutral,yes
480894125b, you`re the absoute best,positive,<sentiment: positive> you`re the,"best,  I love you","<sentiment: positive> you`re the best,  I love you",positive,yes
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,<sentiment: neutral> i don`t want to do anything specific,", i just want to relax and have a good time","<sentiment: neutral> i don`t want to do anything specific , i just want to relax and have a good time",positive,no
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,"<sentiment: negative>Recession hit Veronique Branquinho,",and she is closing her store.  http://bit.ly/4vQYJ,"<sentiment: negative>Recession hit Veronique Branquinho, and she is closing her store.  http://bit.ly/4vQYJ",negative,yes
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish",I had a better computer to play it on,"<sentiment: positive>Playin City of Villains, wish I had a better computer to play it on",negative,no
25510fbf89,I have the Job  this is a nice day it can not be better,positive,<sentiment: positive>I have the Job  this is,the best day ever!,<sentiment: positive>I have the Job  this is the best day ever!,positive,yes
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral> learning tat the scenic way  din plan,to go to the beach today but the weather is not cooperating,<sentiment: neutral> learning tat the scenic way  din plan to go to the beach today but the weather is not cooperating,negative,no
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMAO I,"know! I was like, I`m not going to be able to do that!","<sentiment: neutral>_berland LMAO I know! I was like, I`m not going to be able to do that!",neutral,yes
990cdeae87, I want to see David cook!!,positive,<sentiment: positive> I want to see,the new Star Trek movie!  I love the new trailer!,<sentiment: positive> I want to see the new Star Trek movie!  I love the new trailer!,positive,yes
56a15cf6ca,"hate working when its sunny,boohoo",negative,<sentiment: negative>hate working when its sunny,outside,<sentiment: negative>hate working when its sunny outside,negative,yes
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,<sentiment: negative>ok so this eye doctor guy is taking forever and i`,m bored out of my mind,<sentiment: negative>ok so this eye doctor guy is taking forever and i` m bored out of my mind,negative,yes
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending,i wish i could go to the prom,<sentiment: neutral>man im so sad school is ending i wish i could go to the prom,negative,no
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,"<sentiment: positive> E.L.O.  wow, brings back so many happy memories.  LOVE this",song!,"<sentiment: positive> E.L.O.  wow, brings back so many happy memories.  LOVE this song!",positive,yes
b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!,neutral,<sentiment: neutral>bundy. in 3 days,!,<sentiment: neutral>bundy. in 3 days !,neutral,yes
9fce30159a, Miss you,negative,<sentiment: negative>,is bored.  I need to go to bed.  I have to get up early tomorrow.,<sentiment: negative> is bored.  I need to go to bed.  I have to get up early tomorrow.,negative,yes
08ede23635, good to know   thanks,positive,<sentiment: positive> good to,see you too,<sentiment: positive> good to see you too,positive,yes
4e87dcff0e, what are you? flavor of the day?,neutral,<sentiment: neutral> what are you? flavor of,the month?,<sentiment: neutral> what are you? flavor of the month?,neutral,yes
c672c9da1d,voted for  on CMT.com,neutral,<sentiment: neutral>voted for  on,the 1000th episode of,<sentiment: neutral>voted for  on the 1000th episode of,neutral,yes
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be",warm tomorrow!  I think I`ll go to the park tomorrow!,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be warm tomorrow!  I think I`ll go to the park tomorrow!",positive,no
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love.,he`s going to be a junior next year.  i`m going to miss him so much,<sentiment: neutral>at starbucks with my love. he`s going to be a junior next year.  i`m going to miss him so much,negative,no
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be",able to go to the cinema with my friends.  I want to see the new star trek movie,"<sentiment: positive>On the monday, so i wont be able to go to the cinema with my friends.  I want to see the new star trek movie",negative,no
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>   Caladesi was definitely a nice peaceful way,to spend the day.  I think I need to go back to the beach and read a book,<sentiment: positive>   Caladesi was definitely a nice peaceful way to spend the day.  I think I need to go back to the beach and read a book,positive,yes
0e8aa10a4e, that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive,<sentiment: positive> that`s a very cute picture... but you don`t get fat from,eating ice cream,<sentiment: positive> that`s a very cute picture... but you don`t get fat from eating ice cream,neutral,no
b1999f0951,Now I have a sunburn,negative,<sentiment: negative>Now I have,to go to work  I hate my life,<sentiment: negative>Now I have to go to work  I hate my life,negative,yes
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but the owner was too high strung.  i`m still looking.  i miss my cat.,<sentiment: neutral>almost got a kitty yesterday... but the owner was too high strung.  i`m still looking.  i miss my cat.,negative,no
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe.,I need to get some work done,<sentiment: neutral>TweetDeck is acting really strange! Hum........ reinstall maybe. I need to get some work done,negative,no
aeb0e9d730,: you get to go home and i have to go to work,neutral,<sentiment: neutral>: you get to go home,tomorrow?  i wish i was going home tomorrow,<sentiment: neutral>: you get to go home tomorrow?  i wish i was going home tomorrow,negative,no
5ff525b74b,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative,<sentiment: negative>Wondering if i cld make things any,worse for myself,<sentiment: negative>Wondering if i cld make things any worse for myself,negative,yes
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,"bought, but it was bad  i guess i`ll just have to wait for the next one to be good","<sentiment: neutral>was so excited to eat the wartermelon i bought, but it was bad  i guess i`ll just have to wait for the next one to be good",negative,no
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive> i always have those for my,friends  and i always get them for my friends  i love you guys!,<sentiment: positive> i always have those for my friends  and i always get them for my friends  i love you guys!,positive,yes
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>,"I`m going to bed, I have a busy day tomorrow.  I hope everyone has a great day!","<sentiment: positive> I`m going to bed, I have a busy day tomorrow.  I hope everyone has a great day!",positive,yes
433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,positive,<sentiment: positive>Ahhh my mommie got me,a new bed and it is so comfy,<sentiment: positive>Ahhh my mommie got me a new bed and it is so comfy,positive,yes
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,"<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht I","will never be with him, but I still love him","<sentiment: neutral>I <3 Rupert Grint......& of the boy, Ive accepted tht I will never be with him, but I still love him",positive,no
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for,work.  I`m off to the gym & then work.  I`m going to miss my mom,<sentiment: neutral>So I really need to put the laptop down & start getting ready for work.  I`m off to the gym & then work.  I`m going to miss my mom,negative,no
16ee71e6df, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative,<sentiment: negative> Sadly I think I know exactly were you put it--in the,trash.,<sentiment: negative> Sadly I think I know exactly were you put it--in the trash.,negative,yes
886545bbab,"Yes, I am",neutral,<sentiment: neutral>Yes,", I`m going to be a bridesmaid in my cousin`s wedding.  I`m so excited!","<sentiment: neutral>Yes , I`m going to be a bridesmaid in my cousin`s wedding.  I`m so excited!",positive,no
9a55d83c79, yeh me 2,neutral,<sentiment: neutral> yeh,", i think i`m going to have to go to bed now.  goodnight!","<sentiment: neutral> yeh , i think i`m going to have to go to bed now.  goodnight!",positive,no
1ea547383b,Happy muthath`s day to all moms!!! I salute you!,positive,<sentiment: positive>Happy muthath`s day,to all the muthas out there,<sentiment: positive>Happy muthath`s day to all the muthas out there,positive,yes
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative> bahah sadly,i cant go to the concert  i`m working  i`m so sad,<sentiment: negative> bahah sadly i cant go to the concert  i`m working  i`m so sad,negative,yes
29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,<sentiment: positive> oh i love sunday mornings like this,.  i love my family,<sentiment: positive> oh i love sunday mornings like this .  i love my family,positive,yes
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral,<sentiment: neutral>Bout to hit pmark then make,a quick stop at the store.  I`m so tired,<sentiment: neutral>Bout to hit pmark then make a quick stop at the store.  I`m so tired,negative,no
0d14593b11,looking forward to body works today,neutral,<sentiment: neutral>looking forward to,the weekend,<sentiment: neutral>looking forward to the weekend,positive,no
e64208b4ef, and within a short time of the last clue all of them,neutral,<sentiment: neutral> and within a short time of,"each other, my mom and my aunt both called me to tell me they love me.  I love them too!","<sentiment: neutral> and within a short time of each other, my mom and my aunt both called me to tell me they love me.  I love them too!",positive,no
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the phone,with my mom and dad.  they are making me feel so guilty.  i miss them,<sentiment: neutral>ughh on the phone with my mom and dad.  they are making me feel so guilty.  i miss them,negative,no
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative> thats rough. hubby had knee surgery but it did help him in the,long run. i`m sure you`ll be fine.  good luck!,<sentiment: negative> thats rough. hubby had knee surgery but it did help him in the long run. i`m sure you`ll be fine.  good luck!,positive,no
14760477ad,is pretty dang tired. but chambers class is for napping.,negative,<sentiment: negative>is pretty dang tired. but,i have to get up in 4 hours for work,<sentiment: negative>is pretty dang tired. but i have to get up in 4 hours for work,negative,yes
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,positive,<sentiment: positive> why would they take a photo,of me and not post it?  i want to see!,<sentiment: positive> why would they take a photo of me and not post it?  i want to see!,neutral,no
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today,!  he`s a black and white tuxedo cat.  he`s so cute!  his name is `Buddy`,<sentiment: neutral>Guess what? mom adopted a kitty today !  he`s a black and white tuxedo cat.  he`s so cute!  his name is `Buddy`,positive,no
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive> yep - three things: a good haircut, the",sun is shining and I`m off to work in a minute.  Happy Monday!,"<sentiment: positive> yep - three things: a good haircut, the sun is shining and I`m off to work in a minute.  Happy Monday!",positive,yes
cdd172d6a7,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive,<sentiment: positive>Going to bed after a great night with a friend,.  Goodnight twitter world,<sentiment: positive>Going to bed after a great night with a friend .  Goodnight twitter world,positive,yes
37771d1bc1,_celeste  finally some sleep in silence,neutral,<sentiment: neutral>_celeste  finally some,good news!  I`m so happy for you!,<sentiment: neutral>_celeste  finally some good news!  I`m so happy for you!,positive,no
7c2fcb712e, ****  lol....where u headed to?,neutral,<sentiment: neutral> ****  lol....where u,at?  i miss u,<sentiment: neutral> ****  lol....where u at?  i miss u,positive,no
